Chinese,Pinyin,Part of Speech,English,Sentence 1 - Chinese,Sentence 1 - Pinyin,Sentence 1 - English,Sentence 2 - Chinese,Sentence 2 - Pinyin,Sentence 2 - English
好玩儿,hǎowán'er,Adj,"interesting, fun, enjoyable",打篮球很好玩儿。,Dǎ lánqiú hěn hǎowánr.,It’s fun to play basketball.,这个电脑游戏很好玩儿。,Zhège diànnǎo yóuxì hěn hǎowánr。,This computer game is fun.
运动,yùndòng,Noun,"exercise, to exercise",你喜欢什么运动?,Nǐ xǐhuan shénme yùndòng?,What sports do you like?,他常运动。,Tā cháng yùndòng.,He exercises often.
电影院,diànyǐngyuàn,Noun,cinema,我现在在电影院看电影。,Wǒ xiànzài zài diànyǐngyuàn kàn diànyǐng.,I am now at the cinema watching a movie.,你想什么时候去电影院？,Nǐ xiǎng shénme shíhou qù diànyǐngyuàn?,When do you want to go to a cinema?
学习,xuéxí,Verb,to study,他在中国学习中文。,Tā zài Zhōngguó xuéxí Zhōngwén.,He studies Chinese in China.,我喜欢在图书馆学习。,Wǒ xǐhuan zài túshūguǎn xuéxí.,I like to study in the library.
酒吧,jiǔba,Noun,bar,晚上我们去酒吧喝啤酒。,Wǎnshàng wǒmen qù jiǔbā hē píjiǔ.,We are going to a bar to drink beer at night.,我周末常去酒吧。,Wǒ zhōumò cháng qù jiǔba.,I often go to bars on weekends.
啤酒,píjiǔ,Noun,beer,我们一起喝啤酒。,Wǒmen yìqǐ hē píjiǔ。,We drink beer together.,那家酒吧的啤酒很不错！,Nà jiā jiǔba de píjiǔ hěn búcuò!,The beer at that bar is very good.
有意思,yǒuyìsi,Adj,"interesting, fun","我觉得出门很有意思! 我喜欢出门去运
动。",Wǒ juéde chūmén hěn yǒuyìsi! Wǒ xǐhuan chūmén qù yùndòng.,I think going out is fun! I like to go out to exercise.,我觉得学汉语很有意思。,Wǒ juédé xué hànyǔ hěn yǒuyìsi.,I think it's interesting to learn Chinese.
无聊,wúliáo,Adj,"boring,bored",他觉得出门太麻烦了，也觉得很无聊。,"Tā juéde chūmén tài máfán le, yě juéde hěn wúliáo.",He thinks going out is too troublesome and boring.,"我觉得看电影很无聊,我喜欢看书。","Wǒ juéde kàn diànyǐng hěn wúliáo, wǒ xǐhuan kàn shū.","I think watching movies is boring, I like to read books."
麻烦,máfán,Verb,"be annoyed,to bother, troublesome, annoying",我是一个麻烦的人。,Wǒ shì yí gè máfán de rén.,I am a troublesome person.,他觉得去电影院看电影很麻烦。,Tā juéde qù diànyǐngyuàn kàn diànyǐng hěn máfán.,He thinks going to watch movies at cinema is bothersome.
出门,chūmén,Verb Object,to go outside,他早上九点出门去上课。,Tā zǎoshàng jiǔdiǎn chūmén qù shàngkè.,He goes to class at 9 in the morning.,我今天晚上不想出门。,Wǒ jīntiān wǎnshàng bùxiǎng chūmén.,I don't want to go out tonight.
种,zhǒng,Measure word,"kind,type",你喜欢吃哪种菜?,Nǐ xǐhuan chī nǎ zhǒng cài?,What kind of food do you like?,那种电影很无聊。,Nà zhǒng diànyǐng hěn wúliáo.,That kind of movie is boring.
一起,yìqǐ,Adv,together,星期二我们一起去吃日本菜。,Xīngqīèr wǒmen yìqǐ qù chī Rìběn cài.,Let's have Japanese food on Tuesday together.,我常跟女朋友一起去看电影。,Wǒ cháng gēn nǚpéngyou yìqǐ qù kàn diànyǐng.,I often watch movies with my girlfriend.
算了,suànle,Phrase,forget about it,A: 外面下雨，我不能跟你出去。 B: 算了，我跟玛丽去。,"A: Wàimiàn xiàyǔ, wǒ bùnéng gēn nǐ chūqù.  B: Suànle, wǒ gēn Mǎlì qù.","A: It’s raining outside, I can't go out with you.  B: Fine, I'll go out with Mary.",票要是卖完了，就算了。,"Piào yàoshi mài wán le, jiù suànle.","If the ticket was sold out, then just forget it."
下雨,xiàyǔ,Verb Object,raining,"今天, 明天都下雨。","Jīntiān, míngtiān dōu xiàyǔ.",Today and tomorrow it will rain.,明天会下雨吗？,Míngtiān huì xià yǔ ma?,Will it rain tomorrow?
外面,wàimiàn,Noun,outside,"他现在在外面,不在家。","Tā xiànzài zài wàimiàn , bú zài jiā.","He is out now, he's not at home.",电影院外面有很多人。,Diànyǐngyuàn wàimiàn yǒu hěnduō rén.,There are a lot of people outside of the theater.
没问题,méi wèntí,Phrase,no problem,A: 你有空吗？我们一起去打球，好不好？ B: 没问题。,"A: Nǐ yǒu kòng ma? Wǒmen yīqǐ qù dǎqiú, hǎo bùhǎo? B: Méi wèntí.","A: Do you have free time? Let's go  play ball games, what do you think?  B: No problem.",A: 能请你和我一起去买东西吗? B: 没问题。什么时候去?,A: Néng qǐng nǐ hé wǒ yīqǐ qù mǎi dōngxī ma? B: Méi wèntí. Shénme shíhòu qù?,"A: Can I take you out to buy things with me? B: Sure, when?"
可是,kěshì,Conj,but,"我想出去, 可是外面下雨。","Wǒ xiǎng chūqù,kěshì wàimiàn xiàyǔ.","I want to go out, but it's raining outside.","很多人喜欢那个电影，可是我觉得很无
聊。","Hěnduō rén xǐhuan nàgè diànyǐng, kěshì wǒ juéde hěn wúliáo.","Many people like that movie, but I think it is boring."
做菜,zuòcài,Verb,cooking,妹妹喜欢做菜。,Mèimei xǐhuan zuò cài。,My younger sister likes to cook.,"他做菜, 做得不错。","Tā zuò cài,zuò de búcuò.",He cooks well.
唱歌,chànggē,Verb,to sing,我们一起去唱歌，好吗？,"Wǒmen yīqǐ qù chànggē, hǎo ma?",How about we go sing together?,你唱歌唱的真好听,Nǐ chànggē chàng de zhēn hǎotīng.,You sing very beautifully.
Chinese,Pinyin,Part of Speech,English,Sentence 1 - Chinese,Sentence 1 - Pinyin,Sentence 1 - English,Sentence 2 - Chinese,Sentence 2 - Pinyin,Sentence 2 - English
说,shuō,Verb,"say,speak a language",请您再说一次。,Qǐng nín zài shuō yīcì.,Can you please say it one more time?,"他说英文, 说得怎么样？","Tā shuō Yīngwén , shuō de zěnmeyàng?",How well can he speak English?
汉语,hànyǔ,Noun,Mandarin,我明天有汉语课。,Wǒ míngtiān yǒu hànyǔ kè.,I have Chinese class tomorrow.,他想学汉语。,Tā xiǎng xué hànyǔ.,He wants to learn Chinese.
英语,yīngyǔ,Noun,English,我不会说英语。,Wǒ bú huì shuō yīngyǔ.,I can't speak English.,我会说法语、英语和汉语,"Wǒ huì shuō fǎyǔ, yīngyǔ hé hànyǔ.","I speak French, English and Chinese."
不错,búcuò,Adj,"pretty good, not bad",她唱得不错。,Tā chàng dé búcuò.,She sings well.,你说中文， 说得不错。,"Nǐ shuō zhōngwén, shuō de búcuò.",You speak Chinese well.
教,jiāo,Verb,to teach,你可以教我怎么说英语吗?,Nǐ kěyǐ jiāo wǒ zěnme shuō yīngyǔ ma?,Can you teach me how to say English?,"大学打工的时候我在一家补习班教德
语。",Dàxué dǎgōng de shíhou wǒ zài yījiā bǔxí bān jiào déyǔ.,"When I was  in college, I taught German in a cram school."
写字,xiězì,Verb Object,to write,汉语老师教我们怎么写字。,Hànyǔ lǎoshī jiào wǒmen zěnme xiě zì.,The Chinese teacher teach us how to write words.,我忘记带写字的本子了。,Wǒ wàngjì dài xiězì de běnzile.,I forgot to bring my writing notebook.
快,kuài,Adj,"fast, quick",他走得很快。,Tā zǒu de hěn kuài.,He walks fast.,我写汉字， 写得不快。,"Wǒ xiě hànzì, xiě de bú kuài.",I write Chinese words at a slow speed.
功课,gōngkè,Noun,homework,我今天有很多功课。,Wǒ jīntiān yǒu hěn duō gōngkè.,I have a lot of homework today.,我的朋友每天都有中文功课。,Wǒ de péngyǒu měitiān dōu yǒu Zhōngwén gōngkè.,My friend has Chinese homework every day.
图书馆,túshūguǎn,Noun,library,他星期一去图书馆看书。,Tā xīngqī yī qù túshūguǎn kànshū.,He goes to library on Mondays to read books.,他在图书馆上网。,Tā zài túshūguǎn shàngwǎng.,He surfed the Internet at the library.
中饭,zhōngfàn,Noun,lunch,我们一起吃中饭吧!,Wǒmen yìqǐ chī zhōngfàn ba!,Let’s eat lunch together.,你吃中饭了吗？,Nǐ chī zhōngfàn le ma?,Have you eaten lunch?
晚饭,wǎnfàn,Noun,dinner,我没有时间做晚饭。,Wǒ méiyǒu shíjiān zuò wǎnfàn.,I don’t have time for making dinner.,我昨天没有吃晚饭。,Wǒ zuótiān méiyǒu chī wǎnfàn.,I didn't have dinner yesterday.
中午,zhōngwǔ,Noun,noon,我中午上英语课。,Wǒ zhōngwǔ shàng yīngyǔ kè.,I have English class at noon.,"他中午不在家, 也没去图书馆。","Tā zhōngwǔ bú zài jiā, yě méi qù túshūguǎn.",He wasn't at home this morning and he didn't go to library either.
非常,fēicháng,Adv,"very,extremely","他非常喜欢看书, 也喜欢运动。","Tā fēicháng xǐhuan kànshū, yě xǐhuan yùndòng.","He really likes to read books, he also likes to do sports.",他做饭，做得非常好吃。,"Tā zuòfàn, zuò de fēicháng hǎochī.","He cooks, the food he cooks is very delicious."
题,tí,Noun,question,这题好难，我不会。,"Zhè tí hǎo nán, wǒ bú huì.","This question is so hard, I don’t know how to do it.",这题非常简单。,Zhè tí fēicháng jiǎndān.,This question is pretty easy.
难,nán,Adj,difficult,写汉字很难，说汉语也很难!,"Xiě hànzì hěn nán, shuō hànyǔ yě hěn nán.","Writing Chinese is difficult, speaking Chinese is also difficult.",我不会做饭，我觉得很难。,"Wǒ bú huì zuò fàn, wǒ juéde hěn nán.","I don't know how to cook, I think it is difficult."
新,xīn,Adj,new,这是一支新手机.,Zhè shì yìzhī xīn shǒujī.,This is a new cell phone.,这是我的新车。,Zhè shì wǒ de xīnchē.,This is my new car.
旧,jiù,Adj,"old, used, worn",我有一支旧手机,Wǒ yǒu yìzhī jiù shǒujī,I have an old cell phone,我的旧手机坏了！,Wǒ de jiù shǒujī huài le!,My old cell phone is broken!
大,dà,Adj,big,"这支手机有一点大, 我不喜欢。","Zhè zhī shǒujī yǒu yìdiǎn dà, wǒ bù xǐhuan.","This phone is a bit big, I don't like it.",我家很大。,Wǒjiā hěn dà.,My house is big.
支,zhī,Measure word,Measure word (for a cell phone etc),我有一支新手机,Wǒ yǒuyìzhī xīn shǒujī,I have a new cell phone,我有一支旧手机,Wǒ yǒu yìzhī jiù shǒujī,I have an old cell phone
商店,shāngdiàn,Noun,"shop, store",这家商店卖一些手机。,Zhè jiā shāngdiàn mài yì xiē shǒujī.,This store sells some cell phones.,我想去商店。,Wǒ xiǎng qù shāngdiàn.,I want to go to the store.
手机,shǒujī,Noun,cell phone,这不是我的手机。,Zhè bú shì wǒ de shǒujī.,This is not my cell phone.,我想买手机！,Wǒ xiǎng mǎi shǒujī!,I want to buy a cell phone!
看一看,kànyíkàn,Phrase,"look, have a look",我去商店看一看。,Wǒ qù shāngdiàn kànyíkàn.,Let me go to the store and have a look.,看一看这封信。,Kàn yī kàn zhè fēng xìn.,Take a look at this letter.
万,wàn,Numeral,ten thousand,我有一万三千元,Wǒ yǒu yí wàn sān qiān yuán,I have thirteen thousand dollars,我有三万四千元,Wǒ yǒu sān wàn sì qiān yuán,I have thirty-four thousand dollars
千,qiān,Numeral,thousand,我有四千元,Wǒ yǒu sì qiān yuán,I have four thousand dollars,我有两千元。,Wǒ yǒu liǎng qiān yuán.,I have two thousand dollars.
能,néng,Verb,to express ability,哪支手机能上网？,Nǎ zhī shǒujī néng shàngwǎng?,Which mobile phone can access the Internet?,这里能上网吗？,Zhèlǐ néng shàngwǎng ma?,Can I go online here?
上面,shàngmiàn,Noun,on top of,你的猫在我的房子上面!,Nǐ de māo zài wǒ de fángzi shàngmiàn.,Your cat is on top of my house.,我家上面是图书馆，下面是饭馆，常常有很多人。,"Wǒ jiā shàngmiàn shì túshūguǎn, xiàmiàn shì fànguǎn, chángcháng yǒu hěn duō rén.","There is a library above my house and a restaurant below, so there are often a lot of people."
下面,xiàmiàn,Noun,down/under,照片在杯子下面。,Zhàopiàn zài bēizi xiàmiàn.,The photo is under the cup.,你的手机在书的下面。,Nǐ de shǒujī zài shū de xiàmiàn.,Your cellphone is under the book.
旁边,pángbiān,Noun,next to/beside,饭馆旁边是图书馆。,Fànguǎn pángbiān shì túshūguǎn.,The library is next to the restaurant.,电影院旁边有商店。,Diànyǐngyuàn pángbiān yǒu shāngdiàn.,There is a shop next to the theater.
里面,lǐmiàn,Noun,inside,图书馆里面有很多书。,Túshūguǎn lǐmiàn yǒu hěn duō shū.,There are a lot of books inside the library.,酒吧里面有很多人。,Jiǔbā lǐmiàn yǒu hěnduō rén.,There are a lot of people in the bar.
大楼,dàlóu,Noun,building,我家旁边有很多大楼。,Wǒ jiā pángbiān yǒu hěn duō dàlóu.,There are a lot of buildings next to my house.,我住在那个大楼。,Wǒ zhù zài nàgè dàlóu.,I live in that building.
海边,hǎibiān,Noun,beach,我们一起去海边玩儿吧!,Wǒmen yìqǐ qù hǎibiān wánr ba!,Let’s go to the beach together and have fun!,"他有一个房子, 那个房子在海边。","Tā yǒu yígè fángzi, nà gè fángzi zài hǎibiān.","He has a house, that house is at the beach."
住,zhù,Verb,to live,我住在那个大楼里面。,Wǒ zhù zài nàge dàlóu lǐmiàn.,I live inside that building.,你想住在山上还是海边？,Nǐ xiǎng zhù zài shānshàng háishì hǎibiān?,Do you want to live in the mountains or along the seaside?
知道,zhīdào,Verb,to know,我知道他家在哪儿!,Wǒ zhīdào tā jiā zài nǎr.,I know where his house is.,你知道他是谁吗?,Nǐ zhīdào tā shì shéi ma?,Do you know who he is?
欢迎,huānyíng,Noun/Verb,"to welcome, welcome",欢迎你来我家玩儿。,Huānyíng nǐ lái wǒ jiā wánr.,You are welcome to come to my house to hang out.,明天是一成的生日，欢迎你一起跟我去他家喝啤酒!,"Ｍíngtiān shì Yīchéng de shēngrì, huānyíng nǐ yìqǐ gēn wǒ qù tā jiā hē píjiǔ","Tomorrow is Yicheng’s birthday, you are welcome to come with me to his place to drink beer!"
玩儿,wánr,Verb,"to play, have fun",我喜欢去海边玩儿。,Wǒ xǐhuan qù hǎibiān wánr.,I like to go to the beach and have fun.,我明年想要去中国玩儿。,Wǒ míngnián xiǎng yào qù Zhōngguó wánr.,I want to go China and have fun there next year.
公共汽车,gōnggòng qìchē,Noun,bus,我每个星期都坐公共汽车去上汉语课。,Wǒ měige xīngqī dōu zuò gōnggòng qìchē qù shàng Hànyǔ kè.,I take the bus every week to Chinese class.,我不喜欢坐公共汽车。,Wǒ bù xǐhuan zuò gōnggòng qìchē.,I don't like to take the bus.
自行车,zìxíngchē,Noun,bicycle/bike,我喜欢骑自行车。,Wǒ xǐhuan qí zìxíngchē.,I like to ride a bicycle.,我没有自行车。,Wǒ méiyǒu zìxíngchē.,I don't have a bike.
走路,zǒulù,Verb Object,to walk,我的朋友每天都走路去学校。,Wǒ de péngyǒu měitiān dōu zǒulù qù xuéxiào.,My friend  walks to school every day.,他女朋友每天走路去上课。,Tā nǚpéngyǒu měitiān zǒulù qù shàngkè.,His girlfriend goes to class by walking every day.
站,zhàn,Measure word,"stations, stops",从我家到图书馆坐公共汽车要三站。,Cóng wǒ jiā dào túshūguǎn zuò gōnggòng qìchē yào sān zhàn.,It takes 3 stations to get from my house to the library.,从邮局到图书馆要坐五站。,Cóng yóujú dào túshūguǎn yào zuò wǔ zhàn.,It takes 5 stations to get from the post office to library.
椅子,yǐzi,Noun,chair,你家有几把椅子?,Nǐ jiā yǒu jǐ bǎ yǐzi?,How many chairs do you have at home?,我想买两把椅子。,Wǒ xiǎng mǎi liǎng bǎ yǐzi.,I want to buy two chairs.
休息,xiūxí,Verb,to take a rest,你中午几点休息?,Nǐ zhōngwǔ jǐdiǎn xiūxi?,What time do you rest at noon?,我们可以休息到几点?,Wǒmen kěyǐ xiūxi dào jǐdiǎn?,How long can we take a rest? Until what time?
上班,shàngbān,Verb Object,to go to work,你在哪儿上班?,Nǐ zài nǎr shàngbān?,Where do you work?,我在邮局上班。,Wǒ zài yóujú shàngbān.,I work in the post office.
Chinese,Pinyin,Part of Speech,English,Sentence 1 - Chinese,Sentence 1 - Pinyin,Sentence 1 - English,Sentence 2 - Chinese,Sentence 2 - Pinyin,Sentence 2 - English
坐,zuò,Verb,"to take (a bus, airplane etc)",我坐公共汽车去电影院。,Wǒ zuò gōnggòng qìchē qù diànyǐngyuàn.,I go to cinema by bus.,我坐公共汽车来上汉语课。,Wǒ zuò gōnggòng qìchē lái shàng Hànyǔ kè.,I take the bus to the Chinese class.
骑,qí,Verb,to ride,我常骑自行车去上课。,Wǒ cháng qí zìxíngchē qù shàngkè.,I often go to class by bike.,骑自行车能运动。,Qí zìxíngchē néng yùndòng.,You can exercise by riding a bike.
超市,chāoshì,Noun,supermarket,我想去超市买鸡蛋。,Wǒ xiǎng qù chāoshì mǎi jīdàn.,I want to buy eggs in the supermarket.,我家旁边有超市和邮局。,Wǒ jiā pángbiān yǒu chāoshì hé yóujú.,There’s a supermarket and a post office next to my house.
件,jiàn,Measure word,"Measure word (for events, things, clothes etc)",这件衣服是我妹妹的。,Zhè jiàn yīfú shì wǒ mèimei de.,This cloth is my younger sister's.,这件衣服很好看!,Zhè jiàn yīfú hěn hǎokàn.,This shirt looks nice.
衣服,yīfú,Noun,clothes,他昨天买了很多漂亮的衣服。,Tā zuótiān mǎi le hěn duō piàoliàng de yīfú.,He bought a lot of nice cloth yesterday.,我有一件漂亮的衣服。,Wǒ yǒu yí jiàn piàoliang de yīfú.,I have a beautiful clothes.
对了,duìle,Phrase,by the way,对了，他昨天告诉我他不来学校。,"Duìle, tā zuótiān gàosù wǒ tā bù lái xuéxiào.","By the way, he told me yesterday that he is not coming to school.",A: 明天会有三个人去上课。 B: 对了，美美说他也来。一共四个人去上课。,"A: Míngtiān huì yǒu sān ge rén qù shàngkè. B: Duìle, Měiměi shuō tā yě lái. Yígòng sì gè rén qù shàngkè.","A: There will be three people to the class tomorrow.  B: By the way, Měiměi said she will also come. Four people altogether."
告诉,gàosù,Verb,to tell,她没有告诉我这件事情。,Tā méiyǒu gàosù wǒ zhè jiàn shìqíng.,She didn't tell me this thing.,他告诉我从他家到超市往前走十分钟就到了。,Tā gàosù wǒ cóng tā jiā dào chāoshì wǎng qián zǒu shí fēnzhōng jiù dào le.,He told me from his house to the supermarket only needs to walk for ten minutes.
鸡蛋,jīdàn,Noun,egg,我的早餐是鸡蛋和牛奶。,Wǒ de zǎocān shì jīdàn hé niúnǎi.,My breakfast was eggs and milk.,请你去超市买鸡蛋和牛奶。,Qǐng nǐ qù chāoshì mǎi jīdàn hé niúnǎi.,Please go to the supermarket and buy eggs and milk.
忘了,wàngle,Verb,to forget,我昨天忘了去超市。,Wǒ zuótiān wàngle qù chāoshì.,I forgot to go supermarket yesterday.,对不起，我忘了买你的鸡蛋了。,"Duìbùqǐ, wǒ wàngle mǎi nǐ de jīdàn le.","I am sorry, I forgot to buy your eggs."
牛奶,niúnǎi,Noun,milk,我每天早上都喝一杯咖啡和一瓶牛奶。,Wǒ měitiān zǎoshàng dōu he yì bēi kāfēi hé yì píng niúnǎi.,I drink a cup of coffee and a bottle of milk every morning.,我家有三瓶牛奶。,Wǒ jiā yǒu sān píng niúnǎi.,I have three bottles of milk at home.
怎么,zěnme,Adv,how to...?,"这个字非常难,我不知道怎么写。",Zhè gè zì fēicháng nán. Wǒ bù zhīdào zěnme xiě.,This word is so difficult. I don't know how to write it.,你知道他家怎么走吗？,Nǐ zhīdào tā jiā zěnme zǒu ma?,Do you know how to get to his place?
走,zǒu,Verb,"to get there, walk",从这儿往前走就到他家了。,Cóng zhèr wǎng qián zǒu jiù dào tā jiā le.,"Go forward from here, you'll go right to his house.","我想去邮局, 可是我不知道怎么走。","Wǒ xiǎng qù yóujú, kěshì wǒ bù zhīdào zěnme zǒu.","I would like to go to post office, but I don't know how to get there."
前,qián,Noun,front/forward/ah ead,往前走就是我家。,Wǎng qián zǒu jiù shì wǒ jiā.,Go forward and that's my house.,"往前看,可以看到我的房子。","Wǎng qián kàn, kěyǐ kàndào wǒ de fángzi.","Look forward, you can see my house."
就,jiù,Adv,"then,right away",图书馆，往前走右拐就到了。,"Túshūguǎn, wǎng qián zǒu yòuguǎi jiù dào le.","Go forward and turn right, the library is there.",就等一会儿。,Jiù děng yìhuǐr.,Just wait a moment.
邮局,yóujú,Noun,post office,图书馆在邮局的旁边。,Túshūguǎn zài yóujú de pángbiān.,The post office is next to the library.,这个大楼里面有邮局。,Zhège dàlóu lǐmiàn yǒu yóujú.,There is a post office in this building.
认识,rènshì,Verb,"to know, to recognise",我不认识那个人。,Wǒ bú rènshì nàge rén.,I don’t know that person.,你认识这条路吗？,Nǐ rènshì zhè tiáo lù ma?,Do you know this road?
路,lù,Noun,road,我知道这条路的名字!,Wǒ zhīdào zhè tiáo lù de míngzì.,I know the name of this road.,"从这条路往前走, 就到了。","Cóng zhè tiáo lù wǎng qián zǒu, jiù dào le.",Go forward on this road and you will get there.
左拐,zuǒguǎi,Verb,to turn left,那条路左拐就到我家。,Nà tiáo lù zuǒguǎi jiù dào wǒ jiā.,Turn left on that road and you'll arrive at my house.,这条路往左拐不是邮局，是我家。,"Zhè tiáo lù wǎng zuǒguǎi bú shì yóujú, shì wǒjiā.","Taking a left on this road isn't the post office, it's my house."
右拐,yòuguǎi,Verb,to turn right,邮局在前面那条路右拐。,Yóujú zài qiánmiàn nà tiáo lù yòuguǎi.,"Post office is at the road ahead, turn right.",我往右拐的。,Wǒ wǎng yòu guǎi de.,I turned right.
从,cóng,Prep,from,从这儿往左走就是邮局。,Cóng zhèr wǎng zuǒ zǒu jiùshì yóujú.,Turn left from here and there is the post office.,他从杭州来。,Tā cóng Hángzhōu lái.,He comes from Hangzhou.
到,dào,Verb,"to arrive, arrive","从这里往前走, 就到了。","Cóng zhèlǐ wǎng qián zǒu, jiù dào le.","Go straight from here, then you will arrive.",从我家到学校需要五十分钟。,Cóng wǒjiā dào xuéxiào xūyào wǔshí fēnzhōng.,It takes fifty minutes from my home to school.
事情,shìqíng,Noun,"Affair,matter, thing",这件事情很难也很麻烦。,Zhè jiàn shìqing hěn nán yě hěn máfán.,This thing is very difficult and troublesome.,你今天下午有事情吗?,Nǐ jīntiān xiàwǔ yǒu shìqíng ma?,Do you have things to do this afternoon?
得,děi,Adv,"must,have to",我得出门去上课!,Wǒ děi chū mén qù shàng kè.,I have to go out to go to class.,我明天有考试，我得学习。,"Wǒ míngtiān yǒu kǎoshì, wǒ děi xuéxí.","I have test tomorrow, I have to study."
时间,shíjiān,Noun,time,我有很多时间写功课。,Wǒ yǒu hěn duō shíjiān xiě gōngkè.,I have a lot of time to write homework.,"这个周末我有一些时间, 我想出门做一些有意思的事情。","Zhège zhōumò wǒ yǒu yīxiē shíjiān, wǒ xiǎng chūmén zuò yīxiē yǒuyìsi de shìqíng.","This weekend I have some free time, I want to go out and do something interesting."
怕,pà,Verb,"to fear, to be afraid of",学生都很怕老师。,Xuéshēng dōu hěn pà lǎoshī,The students are all afraid of teacher.,"我想试试看四川菜,可是我怕辣。","Wǒ xiǎng shìshì kàn sìchuān cài, kěshì wǒ pà là.","I would like to try Sichuan's cuisine, but I'm afraid of the spice."
担心,dānxīn,Verb,"anxious,worried to worry",我很担心今年的汉语考试考得不好。,Wǒ hěn dānxīn jīnnián de Hànyǔ kǎoshì kǎo de bù hǎo,I am really worried that I did bad on this year's Chinese test.,我担心他。,Wǒ dānxīn tā.,I worry about him.
考试,kǎoshì,Noun,"to test, test, exam",你明天考试考什么？,Nǐ míngtiān kǎoshì kǎo shénme?,What are your exams tomorrow?,明天有汉语考试。,Míngtiān yǒu Hànyǔ kǎoshì.,There’s a Chinese test tomorrow.
今年,jīnnián,Noun,this year,今年我要跟家人去中国玩儿。,Jīnnián wǒ yào gēn jiārén qù Zhōngguó wánr.,I am going to China with my family this year.,他今年二十八岁。,Tā jīnnián èrshíbā suì.,He is twenty eight years old this year.
不好意思,bùhǎoyìsi,Phrase,"excuse me, to be sorry",不好意思，请问这儿可以照相吗?,"Bùhǎo yìsi, qǐngwèn zhèr kěyǐ zhàoxiàng ma?","Excuse me, can we take pictures here?",不好意思，请问这儿可以吃东西吗?,"Bùhǎo yìsi, qǐngwèn zhèr kěyǐ chī dōngxi ma?","Excuse me, can we eat here?"
听音乐,tīng yīnyuè,Verb Object,to listen to music,我喜欢听音乐。,Wǒ xǐhuan tīng yīnyuè.,I like to listen to music.,你跑步时听音乐吗？,Nǐ pǎobù shí tīng yīnyuè ma?,Do you listen to music when you go jogging?
附近,fùjìn,Adv,nearby,你家附近有商店吗?,Nǐ jiā fùjìn yǒu shāngdiàn ma?,Is there a shop nearby your house?,"小程住在我家附近, 我们周末常一起去运动。","Xiǎo chéng zhù zài wǒ jiā fùjìn,wǒmen zhōumò cháng yìqǐ qù yùndòng.","Little Cheng lives nearby my place, we often go doing exercise on weekends."
