Chinese,Pinyin,Part of Speech,English,Sentence 1 - Chinese,Sentence 1 - Pinyin,Sentence 1 - English,Sentence 2 - Chinese,Sentence 2 - Pinyin,Sentence 2 - English
照相,zhàoxiàng,Verb Object,to take a photo,他周末喜欢去爬山、照相。,"Tā zhōumò xǐhuan qù páshān, zhàoxiàng.",He likes to go mountain climbing and take pictures on the weekend.,我可以帮你照相吗？,Wǒ kěyǐ bāng nǐ zhàoxiàng ma?,Do you want me to take your picture?
博物馆,bówùguǎn,Noun,museum,博物馆里面不可以照相!,Bówùguǎn lǐmiàn bù kěyǐ zhàoxiàng.,You can't take pictures inside the museum.,博物馆里面有很多有意思的东西。,Bówùguǎn lǐmiàn yǒu hěn duō yǒuyìsi de dōngxi.,There are many interesting things in museums.
朋友,péngyǒu,Noun,"friend, friends",我跟我朋友明天要一起去博物馆。,Wǒ gēn wǒ péngyou míngtiān yào yìqǐ qù bówùguǎn.,I am going to the museum with my friend tomorrow.,我有很多朋友跟我一起学汉语。,Wǒ yǒu hěn duō péngyou gēn wǒ yìqǐ xué Hànyǔ.,I have a lot of friends learning Chinese together with me.
天,tiān,Measure word,day,一个星期有七天。,Yí ge xīngqī yǒu qī tiān.,There are seven days in a week.,我每天早上都喝一杯咖啡。,Wǒ měitiān zǎoshàng dōu hē yì bēi kāfēi.,I drink a cup of coffee every day in the morning.
等一会儿,děng yìhuǐr,Phrase,"Wait a moment, later",我跟我朋友等一会儿要一起去逛街。,Wǒ gēn wǒ péngyou děng yìhuǐr yào yìqǐ qù guàngjiē.,My friend and I will go shopping later.,我们等一会儿去外面照相。,Wǒmen děng yìhuǐr qù wàimiàn zhàoxiàng.,We will take photos outside later.
Chinese,Pinyin,Part of Speech,English,Sentence 1 - Chinese,Sentence 1 - Pinyin,Sentence 1 - English,Sentence 2 - Chinese,Sentence 2 - Pinyin,Sentence 2 - English
地方,dìfāng,Noun,"area, place",那个地方在哪儿?,Nà gè dìfāng zai nǎr?,Where is that place?,这个地方不可以吃东西。,Zhège dìfāng bù kěyǐ chī dōngxi.,You can't eat here.
远,yuǎn,Adj,far,图书馆离邮局很远。,Túshūguǎn lí yóujú hěn yuǎn.,The library is far away from the post office.,我的家不远，图书馆往左拐就到了。,"Wǒ de jiā bù yuǎn, túshūguǎn wǎng zuǒ guǎi jiù dào le.","My home is not far, turn left after the library and you'll arrive."
近,jìn,Adj,near/close,图书馆离我家很近!,Túshūguǎn lí wǒ jiā hěn jìn.,The library is close to my house.,你家离电影院近吗？,Nǐ jiā lí diànyǐngyuàn jìn ma?,Is your house close to movie theater?
小时,xiǎoshí,Noun,hour,从我家到图书馆要三个小时。,Cóng wǒ jiā dào túshūguǎn yào sān gè xiǎoshí.,It takes three hours from my house to library.,他每天学习两小时的英语,Tā měitiān xuéxí liǎng xiǎoshí de yīngyǔ.,He studied English for two hours a day.
山,shān,Noun,mountain,我家旁边有一座山。,Wǒ jiā pángbiān yǒu yí zuò shān.,There’s a mountain next to my house.,山的下面是海边。,Shān de xiàmiàn shì hǎibiān.,There is a beach at the foot of the mountain.
爬山,páshān,Verb Object,"to climb a mountain, to hike a mountain",我们这个周末要去爬山。,Wǒmen zhège zhōumò yào qù páshān.,We are going mountain climbing this weekend.,"我家附近有一座山, 我的家人常去爬山。","Wǒjiā fùjìn yǒu yí zuò shān, wǒ de jiārén cháng qù páshān.","There is a mountain near my house, my family often go mountain climbing."
公司,gōngsī,Noun,company,我爸爸的公司离我们家很远。,Wǒ bàba de gōngsī lí wǒmen jiā hěn yuǎn.,My father’s company is far away from our house.,你的公司离你家远不远?,Ｎǐ de gōngsī lí nǐ jiā yuǎn bùyuǎn?,Is your company far away from your house?
分钟,fēnzhōng,Noun,minute,从这儿去那儿要走三十分钟。,Cóng zhèr qù nàr yào zǒu sānshí fēnzhōng.,To get from here to there you need to walk thirty minutes.,我的公司离我家很近，走路十分钟就到了。,"Wǒ de gōngsī lí wǒ jiā hěn jìn, zǒu lù shí fēnzhōng jiù dào le.","My company is close to my house, you only need to walk for ten mins then you will be there."
要,yào,Verb,"to need, require",从我家到公司要走半小时。,Cóng wǒ jiā dào gōngsī yào zǒu bàn xiǎoshí.,It takes half an hour from my house to the company by foot.,"这杯咖啡要一百块钱, 太贵了!","Zhè bēi kāfēi yào yībǎi kuài qián, tài guì le.",This cup of coffee costs one hundred dollars. It is too expensive!
方便,fāngbiàn,Adj,convenient,我家旁边有一些餐厅，也有超市和图书馆 ， 住在那里很方便。,"Wǒ jiā pángbiān yǒu yìxiē cāntīng, yě yǒu chāoshì hé túshūguǎn. Zhù zài nàlǐ hěn fāngbiàn.","There are some restaurants, supermarkets and libraries near my house. Living there is very convenient.",我的公司附近很方便，饭馆、咖啡店和超市都有。,"Wǒ de gōngsī fùjìn hěn fāngbiàn. Fànguǎn, kāfēi diàn hé chāoshì dōu yǒu.","The facilities near my company are very convenient. We have restaurants, coffee shops and supermarkets."
车票,chēpiào,Noun,transportation ticket,坐公共汽车要买车票。,Zuò gōnggòng qìchē yào mǎi chēpiào.,You need to buy a ticket to take the bus.,中国的车票很便宜。,Zhōngguó de chēpiào hěn piányi.,Train tickets in Chinese are very cheap.
出租车,chūzūchē,Noun,taxi,中国有很多出租车。,Zhōngguó yǒu hěn duō chūzūchē.,There are a lot of taxis in China.,在美国坐出租车很贵。,Zài Měiguó zuò chūzūchē hěn guì.,Taking a taxi in USA is expensive.
地铁,dìtiě,Noun,"subway, metro",我每天都坐地铁去上班。,Wǒ měitiān dōu zuò dìtiě qù shàngbān.,I go to work by subway every day.,他家附近没有地铁。,Tā jiā fùjìn méiyǒu dìtiě.,There is no subway nearby his house.
载,zài,Verb,to give somebody a ride,我姐姐载我去超市买东西。,Wǒ jiějie zài wǒ qù chāoshì mǎi dōngxi.,My older sister drives me to buy things in the supermarket.,妈妈载弟弟去上汉语课。,Māma zài dìdi qù shàng Hànyǔ kè.,My mother drives younger brother to Chinese class.
汽车,qìchē,Noun,car,我有三辆汽车。,Wǒ yǒu sān liàng qìchē.,I have three cars.,这辆新的汽车太贵了！,Zhè liàng xīn de qìchē tài guìle!,This new car is too expensive!
开,kāi,Verb,"to drive ( a machine, car, airplan), to open",我爸爸每天都开车去上班。,Wǒ bàba měitiān dōu kāi chē qù shàngbān.,My father drives to work every day.,开车的时候，我喜欢听音乐。,"Kāichē de shíhou, wǒ xǐhuan tīng yīnyuè.",I like listening to music while driving.
风景,fēngjǐng,Noun,scenery,这儿的风景很漂亮。,Zhèr de fēngjǐng hěn piàoliang.,The scenery here is pretty.,"你比较喜欢山上的风景还是海边的风
景？",Nǐ bǐjiào xǐhuan shānshàng de fēngjǐng háishì hǎibiān de fēngjǐng?,Do you prefer scenery in a mountain or at the beach?
便宜,piányí,Adj,cheap,汽车在中国很便宜。,Qìchē zài Zhōngguó hěn piányi.,Cars are cheap in China.,在中国去饭馆吃饭很便宜。,Zài Zhōngguó qù fànguǎn chīfàn hěn piányi.,It’s cheap to go to eat at the restaurant in China.
等,děng,Verb,to wait,请你等我一起去上课。,Qǐng nǐ děng wǒ yìqǐ qù shàngkè.,Please wait for me to go to class together.,可以请你等我吗?,Kěyǐ qǐng nǐ děng wǒ ma?,Can you wait for me?
迟到,chídào,Verb,to be late,他上班迟到了。,Tā shàngbān chídào le.,She is late for work.,上汉语课的时候，不可以迟到。,"Shàng Hànyǔ kè de shíhou, bù kěyǐ chídào.",You can not be late for Chinese class.
从不,cóng bù,Adv,never,我从不爬山。,Wǒ cóngbù páshān.,I never go mountain climbing.,他上班从不迟到。,Tā shàngbān cóngbù chídào.,He is never late for work.
约,yuē,Verb,to make an appointment/to invite.,他朋友约我一起去爬山。,Tā péngyou yuē wǒ yìqǐ qù páshān .,His friend asked me to go mountain climbing together.,老师约我们下课一起去吃饭。,Lǎoshī yuē wǒmen xiàkè yìqǐ qù chīfàn.,The teacher asked us to eat a meal after class.
上次,shàngcì,Noun,last time,上次我们看电影的时候，他也迟到了。,"Shàngcì wǒmen kàn diànyǐng de shíhou, tā yě chídào le.","Last time he was also late for watching a movie,.",你上次已经迟到了，今天还是迟到。,"Nǐ shàngcì yǐjīng chídào le, jīntiān háishì chídào","You were late last time, you are still late today."
已经,yǐjīng,Adv,already,"今天早上我去等公交车，我到公车站的
时候, 公车已经走了。","Jīntiān zǎoshàng wǒ qù děng gōngjiāochē, wǒ dào gōngchē zhàn de shíhou, gōngchē yǐjīng zǒu le.","This morning I was going to wait for a bus, but when I arrived at the bus stop, the bus had already left.",我已经开车去超市了。,Wǒ yǐjīng kāichē qù chāoshì le.,I have already driven to supermarket.
慢,màn,Adj,slow,他说中文，说得很慢,"Tā shuō zhōngwén,shuō de hěn màn.",He speaks Chinese slowly,你为什么那么慢？,Nǐ wèishénme nàme màn?,Why are you so slow?
多久,duōjiǔ,Phrase,how long..?,请问从超市到邮局要多久?,Qǐngwèn cóng chāoshì dào yóujú yào duōjiǔ?,How long does it take to get from the supermarket to the post office?,从你家到博物馆坐地铁要多久?,Cóng nǐ jiā dào bówùguǎn zuò dìtiě yào duōjiǔ?,How long does it takes from your house to the museum by subway?
练习,liànxí,Verb,to practice,我常在家练习做菜。,Wǒ cháng zài jiā liànxí zuòcài.,I often practice cooking at home,老师说我们要多练习写汉字。,Lǎoshī shuō wǒmen yào duō liànxí xiě hànzì.,Teacher said we should practice Chinese writing more.
说话,shuōhuà,Verb Object,to speak/ to talk,他喜欢跟美国人说话，练习英语。,"Tā xǐhuan gēn Měiguó rén shuōhuà, liànxí yīngyǔ.",He likes to speak with Americans to practice his English.,我喜欢跟中国人说话，练习我的汉语。,"Wǒ xǐhuan gēn Zhōngguó rén shuōhuà, liànxí wǒ de hànyǔ.",I like to practice Chinese by talking to Chinese.
为什么,wèishénme,Phrase,why,现在已经晚上十二点了，你为什么不睡觉?,"Xiànzài yǐjīng wǎnshàng shíèrdiǎn le, nǐ wèi shénme bú shuìjiào?","It’s already twelve a.m. now, why are you not sleeping?",你为什么想学汉语?,Nǐ wèi shénme xiǎng xué hànyǔ?,Why do you learn Chinese?
有用,yǒuyòng,Adj,useful,这个东西很有用也很方便。,Zhège dōngxi hěn yǒuyòng yě hěn fāngbiàn.,This thing is useful and convenient.,你觉得学汉语有用吗?,Nǐ juéde xué hànyǔ yǒuyòng ma?,Do you think Chinese is useful?
放假,fàngjià,Verb Object,to have a vacation,我明天放假。,Wǒ míngtiān fàngjià.,I'll be on holiday tomorrow.,我从星期一到星期五都放假。,Wǒ cóng xīngqī yī dào xīngqī wǔ dōu fàngjià.,I have break from Monday to Friday.
因为,yīnwèi,Conj,Because,"因为我喜欢吃中国菜，所以我常去中国
饭馆。","Yīnwèi wǒ xǐhuan chī Zhōngguó cài, suǒyǐ wǒ cháng qù Zhōngguó fànguǎn.","I like to eat Chinese food, so I go to Chinese restaurant frequently.","因为我放三天假, 所以我想出去玩儿。","Yīnwèi wǒ fàng sān tiān jià, suǒyǐ wǒ xiǎng chūqù wánr.","Because I have three days vacation, so I would like to go out and have fun."
所以,suǒyǐ,Conj,therefore,因为我喜欢爬山，所以周末我都去。,"Yīnwèi wǒ xǐhuan páshān, suǒyǐ zhōumò wǒ dōu qù.","I like to climb the mountain, so I go there on weekends.","他常练习说中文, 所以说得不错。","Tā cháng liànxí shuō Zhōngwén, suǒyǐ shuō de búcuò.","He often practices speaking Chinese, so he speaks well."
刚,gāng,Adv,just,我刚放假，你想去哪儿玩儿?,"Wǒ gāng fàngjià, nǐ xiǎng qù nǎr wánr?","I just have holiday, where do you want to go?",我刚起床，我们一起去吃早饭吧!,"Wǒ gāng qǐchuáng, wǒmen yìqǐ qù chī zǎofàn ba.","I just woke up, let’s go eat breakfast together."
看见,kànjiàn,Verb,"to see, to catch sight of",你昨天看见什么了?,Nǐ zuótiān kànjiàn shénme le?,What did you see yesterday?,我刚看见他和他的朋友在一起逛街。,Wǒ gāng kànjiàn tā hé tā de péngyǒu zài yìqǐ guàngjiē.,I just saw he and his friend shopping together.
以前,yǐqián,Noun,Noun/ before,我三年以前不会说汉语，现在说得很好。,"Wǒ sān nián yǐqián búhuì shuō Hànyǔ, xiànzài shuō de hěnhǎo.","I couldn’t speak Chinese three years ago, but now I can speak well.","他两天以前还在美国，现在已经在中国
了。","Tā liǎngtiān yǐqián háizài Měiguó, xiànzài yǐjīng zài Zhōngguó le.","He was in USA two days ago, now he is in China."
书法,shūfǎ,Noun,calligraphy,我喜欢写书法。,Wǒ xǐhuan xiě shūfǎ.,I like to write calligraphy.,我妈妈写的书法很漂亮。,Wǒ māma xiě de shūfǎ hěn piàoliang.,My mother’s calligraphy looks really nice.
Chinese,Pinyin,Part of Speech,English,Sentence 1 - Chinese,Sentence 1 - Pinyin,Sentence 1 - English,Sentence 2 - Chinese,Sentence 2 - Pinyin,Sentence 2 - English
开始,kāishǐ,Verb,to start,从明天开始，我不上汉语课了。,"Cóng míngtiān kāishǐ, wǒ bú shàng Hànyǔ kè le.",From tomorrow I don’t take Chinese class anymore.,篮球比赛三点开始，你要来看比赛吗?,"Lánqiú bǐsài sāndiǎn kāishǐ, nǐ yào lái kàn bǐsài ma?","The basketball game starts at three p. m., are you coming?"
学校,xuéxiào,Noun,school,这是我的学校，很漂亮吧?,"Zhè shì wǒ de xuéxiào, hěn piàoliang ba?","This is my school. It's really pretty, isn't it?",我弟弟的学校在那条路，往前走右拐就到了。,"Wǒ dìdi de xuéxiào zài nà tiáo lù, wǎng qián zǒu yòuguǎi jiù dào le.","My younger brother’s school is on that road, just go forward and turn right."
课,kè,Noun,"lesson, class",你今天上什么课?,Nǐ jīntiān shàng shénme kè?,What class do you have today?,我明天没课，我们一起去爬山吧。,"Wǒ míngtiān méi kè, wǒmen yìqǐ qù páshān ba.","I don’t have class tomorrow, let’s go mountain climbing."
可能,kěnéng,Adv,"maybe, might, probably",我可能不能去他家玩儿。,Wǒ kěnéng bù néng qù tā jiā wánr.,I might not go to his house to hang out.,他可能会迟到，我们等他吧。,"Tā kěnéng huì chídào, wǒmen děng tā ba.","He might be late, let’s wait for him."
最近,zuìjìn,Noun,recently,他最近工作很忙，不常给我打电话。,"Tā zuìjìn gōngzuò hěn máng, bù cháng gěi wǒ dǎdiànhuà.","He has been busy recently, only rarely does he call me.",最近我很忙。,Zuìjìn wǒ hěn máng.,"Recently, I'm very busy."
喂,wéi,Phrase,Hello (when answer the telephone),喂，你好，请问有什么事?,"Wéi, nǐhǎo, qǐngwèn yǒu shénme shì?","Hello, how can I help you?","喂，我现在不方便接电话，你可以三十分
钟之后再打吗？","Wéi, wǒ xiànzài bù fāngbiàn jiē diànhuà, nǐ kěyǐ sānshí fēnzhōng zhīhòu zài dǎ ma?","Hello, it's not a good time to talk right now, can you give me a call in thirty minutes?"
开会,kāihuì,Verb Object,to hold a meeting,我下午一点要开会。,Wǒ xiàwǔ yì diǎn yào kāihuì.,I have meeting at one p.m.,我们公司每个下午都开会。,Wǒmen gōngsī měi ge xiàwǔ dōu kāihuì.,Our company has a meeting every afternoon.
打电话,dǎdiànhuà,Verb Object,to make a phone call,你晚上可以打电话来我家。,Nǐ wǎnshàng kěyǐ dǎdiànhuà lái wǒ jiā.,You can call me at night.,他喜欢打电话跟朋友聊天。,Tā xǐhuan dǎdiànhuà gēn péngyou liáotiān.,He likes to call his friend and chat.
那,nà,Adv,"then, in that case","A: 今天外面下雨，不能打篮球。 B: 那我
们去看电影吧。","A: Jīntiān wàimiàn xiàyǔ, bùnéng dǎ lánqiú. B: Nà wǒmen qù kàn diànyǐng ba.","A: It’s raining outside, we can’t play basketball.  B: Then let’s see a movie.","A: 那个东西多少钱？ B: 五十元。A: 那
这个东西要多少钱?",A: Nàgè dōngxī duōshǎo qián?  B: Wǔ shí yuán. A: Nà zhège dōngxi yào duōshǎo qián?,A: How much does this thing cost?  B: Fifty dollars. A: Then how much does this cost?
桌子,zhuōzi,Noun,table,我家有三张桌子。,Wǒ jiā yǒu sān zhāng zhuōzi.,I have three tables at home.,他公司有很多桌子和椅子。,Tā gōngsī yǒu hěnduō zhuōzi hé yǐzi.,There are a lot of tables and chairs in his company.
生日会,shēngrì huì,Noun,birthday party,他的生日会是一月二十五日。,Tā de shēngrì huì shì yī yuè èrshíwǔ rì.,His birthday party is on the twenty-fifth of January.,你会去他的生日会吗?,Nǐ  huì qù tā de shēngrì huì ma?,Are you going to his birthday party?
苹果派,píngguǒ pài,Noun,apple pie,我不喜欢吃苹果派。,Wǒ bù xǐhuan chī píngguǒ pài.,I don’t like to eat apple pie.,我妈妈做的苹果派很好吃。,Wǒ māma zuò de píngguǒ pài hěn hǎo chī.,The apple pie my mother made is really tasty.
邀请,yāoqǐng,Verb,to invite,我想邀请你跟你的家人来我的生日会。,Wǒ xiǎng yāoqǐng nǐ gēn nǐ de jiārén lái wǒ de shēngrì huì.,I would like to invite you and your family to my birthday party.,他邀请朋友一起去看篮球比赛。,Tā yāoqǐng péngyou yìqǐ qù kàn lánqiú bǐsài.,He invites his friend to watch the basketball game together.
好久不见,hǎojiǔ bújiàn,Phrase,"long time, no see",好久不见，你好吗?,"Hǎojiǔ bújiàn, nǐhǎo ma?","Long time no see, how are you?",好久不见，你最近新工作怎么样?,"Hǎojiǔ bújiàn, nǐ zuìjìn xīn gōngzuò zěnmeyàng?","Long time no see, how’s your new job?"
给,gěi,Verb,to give,因为我要考试，所以他给我很多书。,"Yīnwèi wǒ yào kǎoshì, suǒyǐ tā gěi wǒ hěnduō shū.",He gives me a lot of books because I have a test.,你要给他什么?,Nǐ yào gěi tā shénme?,What are you going to give him?
礼物,lǐwù,Noun,gift,我不知道他喜欢什么礼物。,Wǒ bù zhīdào tā xǐhuan shénme lǐwù.,I don’t know what present he likes.,你想要什么礼物?,Nǐ xiǎng yào shénme lǐwù?,What present would you like?
蓝色,lánsè,Noun,blue,我有一件蓝色的衣服。,Wǒ yǒu yí jiàn lánsè de yīfú.,I have a blue t-shirt.,我有很多蓝色的杯子。,Wǒ yǒu hěnduō lánsè de bēizi.,I have a lot of blue cups.
饺子,jiǎozi,Noun,dumplings,饺子是中国菜的一种。,Jiǎozi shì Zhōngguó cài de yì zhǒng.,Dumpling is a kind of Chinese food.,我不喜欢吃饺子。,Wǒ bù xǐhuan chī jiǎozi.,I don’t like to eat dumplings.
旅游,lǚyóu,Verb,travel,我喜欢和我的朋友一起去旅游。,Wǒ xǐhuan hé wǒ de péngyou yìqǐ qù lǚyóu.,I like to go travelling with my friends.,下个星期我们家要去美国旅游。,Xiàge xīngqī wǒmen jiā yào qù Měiguó lǚyóu.,My family and I are going to travel in America next week.
经验,jīngyàn,Noun,experience,他的工作经验不多。,Tā de gōngzuò jīngyàn bùduō.,He doesn’t have much working experience.,他的旅游经验很多。,Tā de lǚyóu jīngyàn hěn duō.,He has a lot of traveling experience.
次,cì,Measure word,"Measure word for enumerated events, time",这件事情我说了三次了。,Zhè jiàn shìqing wǒ shuō le sān cì le.,I have told you about this three times.,我们公司每周都开一次会。,Wǒmen gōngsī měi zhōu dōu kāi yí cì huì.,Our company has meeting once a week.
快乐,kuàile,Adj,happy,旅游是一件很快乐的事情。,Lǚyóu shì yí jiàn hěn kuàilè de shìqing.,Traveling is a very happy thing.,生日快乐! 这是给你的礼物。,Shēngrì kuàilè! Zhè shì gěi nǐ de lǐwù.,Happy Birthday! This present is for you.
最,zuì,Adv,"the most, ""-est""",我最喜欢的人是我爸爸妈妈。,Wǒ zuì xǐhuan de rén shì wǒ bàba māma.,I like my parents the most.,离我家最远的商店要走一小时。,Lí wǒ jiā zuì yuǎn de shāngdiàn yào zǒu yì xiǎoshí.,The most far away shop from my house take an hour by walking.
有名,yǒumíng,Adj,famous,这是这儿最有名的饭馆。,Zhè shì zhèr zuì yǒumíng de fànguǎn.,This is the most famous restaurant here.,我家附近的海边很有名，放假的时候常常很多人来玩儿。,"Wǒ jiā fùjìn de hǎibiān hěn yǒumíng, fàngjià de shíhou cháng cháng hěn duō rén lái wánr.","The beach nearby my house is really famous, during the holidays there are frequently lots of people."
飞机,fēijī,Noun,airplane,从美国到中国要坐十几个小时的飞机。,Cóng Měiguó dào Zhōngguó yào zuò shí jǐ ge xiǎoshí de fēijī.,It takes more than ten hours from America to China by plane.,我常坐飞机去旅游。,Wǒ cháng zuò fēijī qù lǚyóu.,I often take travel by plane.
听说,tīngshuō,Verb,to hear (sb. said),听说你去过中国很多次？,Tīngshuō nǐ qùguò Zhōngguó hěnduō cì?,I heard that you have been to China many times?,我听说你弹吉他。,Wǒ tīngshuō nǐ dàn jítā.,I hear you play the guitar.
高兴,gāoxìng,Adj,"glad, happy",很高兴你也喜欢日本菜。,Hěn gāoxìng nǐ yě xǐhuan Rìběn cài.,I'm glad you liked Japanese food.,我太高兴了。,Wǒ tài gāoxìngle.,I'm too happy.
旅馆,lǚguǎn,Noun,"hostel, hotel",你去旅游的时候喜欢住哪种旅馆？,Nǐ qù lǚyóu de shíhou xǐhuan zhù nǎ zhǒng lǚguǎn？,"When you travel, which kind of hotel do you like to stay at?",旅馆在哪里？,Lǚguǎn zài nǎlǐ?,Where is the hotel?
纪念品,jìniànpǐn,Noun,souvenir,你会买纪念品给你家人吗？,Nǐ huì mǎi jìniànpǐn gěi nǐ jiārén ma?,Will you buy souvenirs for your family?,外国人常到这里来买纪念品。,Wàiguó rén cháng dào zhèlǐ lái mǎi jìniànpǐn.,Foreigners often come here to buy souvenirs.
计划,jìhuà,Verb,"to plan, to plan to do sth.",你计划去哪几个国家旅游？,Nǐ jìhuà qù nǎ jǐ ge guójiā lǚyóu?,What countries are you planning to go to?,他今年有一个旅游的计划。,Tā jīnnián yǒu yí gè lǚyóu de jìhuà.,He has a traveling plan this year.
习惯,xíguàn,Verb,to get used to,你习惯吃哪国菜？,Nǐ xíguàn chī nǎguó cài?,Which country’s food do you get used to eat?,"我刚到这里的时候, 不习惯的事有很多。","Wǒ gāng dào zhèlǐ de shíhou, bù xíguàn de shì yǒu hěn duō.",There were a lot of things that I didn't get used to when I arrived here.
去年,qùnián,Noun,last year,你去年去过哪些国家？,Nǐ qùnián qùguò nǎxiē guójiā?,What countries did you visit last year?,去年她在日本。,Qùnián tā zài rìběn.,Last year she was in Japan.
回国,huíguó,Verb Object,to return to home country,他二月三日回国。,Tā èr yuè sān rì huíguó.,He will return home on 3rd February.,你什么时候回国?,Nǐ shénme shíhou huíguó?,When will you return to your home country?
打算,dǎsuàn,Verb,to plan,我打算三点去图书馆看书。,Wǒ dǎsuàn sān diǎn qù túshūguǎn kànshū.,I plan to go to library to read books at 3pm.,他打算三月回国。,Tā dǎsuàn sān yuè huíguó.,He plans to return home in March.
北京,běijīng,Noun,Peking,我爸爸的公司在北京，他在那儿工作。,"Wǒ bàba de gōngsī zài Běijīng, tā zài nàr gōngzuò.","My dad’s company is in Peking, he is working there.",我们放假的时候打算去北京玩儿。,Wǒmen fàngjià de shíhou dǎsuàn qù Běijīng wánr.,We plan to go to Peking on our vacation.
外国,wàiguó,Noun,abroad/foreign country,我跟我的朋友放假要去外国旅游。,Wǒ gēn wǒ de péngyou fàngjià yào qù wàiguó lǚyóu.,My friend and I are going abroad during our vacation.,外国的饭馆都很贵，可是很好吃。,"Wàiguó de fànguǎn dōu hěn guì, kěshì hěn hǎo chī.",Foreign restaurant is very expensive but very good.
只,zhǐ,Adv,only,放假的时候，他的家人只喜欢在家休息。,Fàngjià de shíhou tā de jiārén zhǐ xǐhuan zài jiā xiūxi.,His family only like to stay at home during holiday.,我只喜欢去这家饭馆吃饭。,Wǒ zhǐ xǐhuan qù zhè jiā fànguǎn chīfàn.,I only like to eat in this restaurant.
Chinese,Pinyin,Part of Speech,English,Sentence 1 - Chinese,Sentence 1 - Pinyin,Sentence 1 - English,Sentence 2 - Chinese,Sentence 2 - Pinyin,Sentence 2 - English
后天,hòutiān,Noun,the day after tomorrow,因为他后天要去北京工作，所以明天晚上我们一起去酒吧喝酒聊天吧!,"Yīnwèi tā hòutiān yào qù Běijīng gōngzuò, suǒyǐ míngtiān wǎnshàng wǒmen yìqǐ qù jiǔbā hējiǔ liáotiān ba.","He is going to work in Peking the day after tomorrow, so let’s go to the bar and have a drink tomorrow night.",你后天有空吗？,Nǐ hòutiān yǒu kòng ma?,Do you have free time the day after tomorrow?
