Chinese,Pinyin,Part of Speech,English,Sentence 1 - Chinese,Sentence 1 - Pinyin,Sentence 1 - English,Sentence 2 - Chinese,Sentence 2 - Pinyin,Sentence 2 - English
女朋友,nǚpéngyou,Noun,girlfreind,我的女朋友是美国人。,Wǒ de nǚpéngyou shì Měiguó rén.,My girlfriend is American.,我的女朋友后天要回国了。,Wǒ de nǚpéngyou hòutiān yào huí guó le.,My girlfriend is leaving back to her country the day after tomorrow.
走,zǒu,Verb,to leave,真舍不得你走，要常回来看我们。,"Zhēn shěbude nǐ zǒu, yào cháng huílái kàn women.","Really don’t want you to go, come back to visit us often.",他要走了，你去说再见吧!,"Tā yào zǒu le, nǐ qù shuō zàijiàn ba!","He is leaving, go and say goodbye."
舍不得,shěbude,Verb,to hate to part with,我们舍不得你回国。,Wǒmen shěbude nǐ huí guó.,We don’t want you to return to your country.,我爸爸妈妈舍不得我到外国去学习。,Wǒ bàba māma shěbude wǒ dào wàiguó qù xuéxi.,My parent don’t want me to go abroad to study.
同学,tóngxué,Noun,classmate,我汉语课的同学是美国人。,Wǒ Hànyǔ kè de tóngxué shì Měiguó rén.,My classmate from Chinese class is an American.,我同学已经在图书馆等我们了。,Wǒ tóngxué yǐjīng zài túshūguǎn děng wǒmen le.,My classmate is already waiting for us in the library.
想,xiǎng,Verb,to miss,他到中国去工作三年了，他的家人都很想他。,"Tā dào Zhōngguó qù gōngzuò sān nián le, tā de jiārén dōu hěn xiǎng tā.","He was working in China for 3 years, his family miss him a lot.",我女朋友回国了，我很想他。,"Wǒ nǚpéngyou huí guó le, wǒ hěn xiǎng tā.","My girlfriend is back to her country, I miss her a lot."
写信,xiě xìn,Verb,to write a letter,你回国以后要常写信给我。,Nǐ huí guó yǐhòu yào cháng xiěxìn gěi wǒ.,You have to write me a letter more often when you are back home.,我很喜欢写信、看电视。,"Wǒ hěn xǐhuan xiěxìn, kàn diànshì.",I like to write letters and watch TV.
搭,dā,Verb,to take (transportation),从美国搭飞机到中国要十三个小时。,Cóng Měiguó dā fēijī dào Zhōngguó yào shí sān gè xiǎoshí.,It takes thirteen hours from America to China by plane.,我们要一起搭飞机到日本去玩儿。,Wǒmen yào yìqǐ dā fēijī dào Rìběn qù wánr.,We want to take a plane to Japan together.
回来,huílái,Verb,to come back,已经很晚了，你妹妹怎么还没回来?,"Yǐjīng hěn wǎn le, nǐ mèimei zěnme háiméi huílái?","It’s late, why is your younger sister not back yet?",我爸爸刚从美国回来。,Wǒ bàba gāng cóng Měiguó huílái.,My father just came back from America.
天气,tiānqì,Noun,weather,今天天气不错，我们要不要一起出门去玩儿?,"Jīntiān tiānqì búcuò, wǒmen yào búyào yìqǐ chūmén qù wánr?","Today’s weather is good, how about go out and play?",昨天的天气不好，很冷，我们都在家里没有出门。,"Zuótiān de tiānqì bù hǎo, hěn lěng, wǒmen dōu zài jiā lǐ méiyǒu chūmén.","Yesterday’s weather was bad, it was cold. We all stayed at home."
冷,lěng,Adj,cold,今天外面很冷，早一点儿回来。,"Jīntiān wàimiàn hěn lěng, zǎo yìdiǎnr huílái.","It’s really cold outside, come back home early.",北京的天气很冷，因为开车出门不方便，所以很多人都搭地铁。,"Běijīng de tiānqì hěn lěng, yīnwèi kāichē chūmén bù fāngbiàn, suǒyǐ hěn duō rén dōu dā dìtiě.",The weather in Beijing is cold. Driving is not convenient therefore a lot of people take a subway.
热,rè,Adj,hot,天气很热，我们去游泳吧!,"Tiānqì hěn rè, wǒmen qù yóuyǒng ba!","It’s so hot, let’s go swimming.",我有一点儿热，你可以给我一点儿水吗?,"Wǒ yǒu yìdiǎnr rè, nǐ kěyǐ gěi wǒ yìdiǎnr shuǐ ma?","I am a bit warm, can you give me some water?"
滑雪,huáxuě,Verb Object,to  ski,"放假的时候，我都跟我的家人去日本滑
雪。","Fàngjià de shíhou, wǒ dōu gēn wǒ de jiārén qù Rìběn huáxuě.","During vacation time, I often go to Japan to ski with my family.",滑雪不难，可是很累。,"Huáxuě bù nán, kěshì hěn lèi.","Skiing is not hard, but very tired."
游泳,yóuyǒng,Noun,to swim,天气很热的时候，我们都喜欢去游泳。,"Tiānqì hěn rè de shíhou, wǒmen dōu xǐhuan qù yóuyǒng.","When it’s hot, we all like to go swimming.",我游泳之后都会吃很多东西。,Wǒ yóuyǒng zhīhòu dōu huì chī hěnduō dōngxi.,I always eat a lot after swimming.
下雪,xiàxuě,Verb Object,to snow,外面下雪了，真漂亮。,"Wàimiàn xiàxuě le, zhēn piàoliang.","It’s snowing outside, it’s very pretty.",因为下雪的时候，开车不方便，所以很多人会坐地铁上班。,"Yīnwèi xiàxuě de shíhou, kāi chē bù fāngbiàn, suǒyǐ hěn duō rén huì zuò dìtiě shàngbān.","It’s not convenient when snowing, so a lot of people will take a subway to go to work."
舒服,shūfu,Adj,comfortable,今天的天气不冷也不热，很舒服。,"Jīntiān de tiānqì bù lěng yě bú rè, hěn shūfu.",Today is not so cold and not so warm. It's comfortable.,"他今天不来上汉语课，因为他可能不太
舒服。","Tā jīntiān bù lái shàng Hànyǔ kè, yīnwèi tā kěnéng bú tài shūfu.","He is not coming to Chinese class today, because he isn’t feeling well."
岁,suì,Measure word,year old,你是几岁开始学中文的？,Nǐ shì jǐ suì kāishǐ xué Zhōngwén de?,How old did you start to learn Chinese?,你几岁开始旅游？,Nǐ jǐ suì kāishǐ lǚyóu?,How old do you start to travel?
高,gāo,Adj,high；tall,你的家人都比你高吗？,Nǐ de jiārén dōu bǐ nǐ gāo ma?,Is your family all taller than you?,这个大楼比那个大楼高吗？,Zhège dàlóu bǐ nàgè dàlóu gāo ma?,Is this building taller than that building?
那么,nàme,Conj,so then...,为什么你的中文说得那么好？,Wèishénme nǐ de zhōngwén shuō dé nàme hǎo?,Why do you speak Chinese so well?,为什么你那么喜欢中国菜？,Wèishénme nǐ nàme xǐhuan Zhōngguó cài?,Why do you like Chinese food so much?
胖,pàng,Adj,fat,哪个比较胖？,Nǎge bǐjiào pàng?,Which one is fatter?,哪个比较不那么胖？,Nǎge bǐjiào bú nàme pàng?,Which one is less fat?
矮,ǎi,Adj,short,弟弟比较矮。,Dìdì bǐjiào ǎi.,My younger brother is shorter.,哥哥没有弟弟那么矮。,Gēge méiyǒu dìdi nàme ǎi.,My older brother is not as short as my younger brother.
瘦,shòu,Adj,thin,瘦的人健康吗？,Shòu de rén jiànkāng ma?,Are thin people healthy?,你家人没有你那么瘦吗？,Nǐ jiārén méiyǒu nǐ nàme shòu ma?,Your family isn't as skinny as you?
长,cháng,Adj,long,那条路不长。,Nà tiáo lù bù cháng.,That road is not long.,他学中文的时间很长。,Tā xué Zhōngwén de shíjiān hěn cháng.,He studied Chinese for a long time.
头发,tóufà,Noun,hair,他的头发很长吗？,Tā de tóufà hěn cháng ma?,Is his hair very long?,他的头发没有我的那么长。,Tā de tóufà méiyǒu wǒ de nàme cháng.,His hair is not as long as mine.
医生,yīshēng,Noun,doctor,我今天不舒服，我想我得去看医生。,"Wǒ jīntiān bù shūfu, wǒ xiǎng wǒ dĕi qù kàn yīshēng.","I don’t feel well, I think I need to see a doctor.",我想做医生。,Wǒ xiǎng zuò yīshēng.,I want to be a doctor.
生病,shēngbìng,Verb Object,to be sick,他生病了。所以今天不来上班。,"Tā shēngbìng le, suǒyǐ jīntiān bù lái shàngbān.","He is sick, so he will not come to work today.",我昨天生病了。,Wǒ zuótiān shēngbìngle.,I was sick yesterday.
看病,kànbìng,Verb Object,to see a doctor,"我跟我妹妹今天都不舒服, 所以我们下午的时候就一起去看病了。","Wǒ gēn wǒ mèimei jīntiān dōu bù shūfu, suǒyǐ wǒmen xiàwǔ de shíhou jiù yìqǐ qù kànbìng le.","My younger sister and I both don’t feel well, so we go to see a doctor in the afternoon together.",我们打算今天下午去看病，听说那个医生很有名，可是很早就休息了。,"Wǒmen dǎsuàn jīntiān xiàwǔ qù kànbìng. Tīngshuō nàge yīshēng hěn yǒumíng, kěshì hěn zǎo jiù xiūxi le.",We plan to see a doctor this afternoon. We heard that he is famous. But the clinic closed early.
药,yào,Noun,medicine,这个药每天上午、中午、晚上都要吃一次。,"Zhè gè yào měitiān shàngwǔ, zhōngwǔ, wǎnshàng dōu yào chī yícì.","This medicine has to be taken once in the morning, noon and night.",医生说吃完饭要吃药。,Yīshēng shuō chī wánfàn yào chīyào.,The doctor said you have to eat medicine after your meal.
身体,shēntǐ,Noun,"body, health",我爸爸的身体不太好，所以他常常生病。,"Wǒ bàba de shēntǐ bú tài hǎo, suǒyǐ tā cháng cháng shēngbìng.",My dad’s health is in bad condition therefore he is often sick.,"从外国回来以后，我的身体很好，所以不
要担心。","Cóng wàiguó huí lái yǐhòu, wǒ de shēntǐ hěn hǎo, suǒyǐ bú yào dānxīn.","After coming back from abroad, I'm healthy, so don’t worry."
水果,shuǐguǒ,Noun,fruit,你生病要多吃点儿水果。,Nǐ shēngbìng yào duō chī diǎnr shuǐguǒ.,"When you are sick, you should eat more fruit.",我喜欢吃水果，也喜欢吃蔬菜。,Wǒ xǐhuan chī shuǐguǒ yě xǐhuan chī shūcài.,I like to eat fruit and vegetables.
蔬菜,shūcài,Noun,vegetables,谁都喜欢吃蔬菜水果。,Shéi dōu xǐhuan chī shūcài shuǐguǒ.,Everyone likes to eat vegetables and fruit.,他不太吃蔬菜，所以常生病。,"Tā bú tài chī shūcài, suǒyǐ cháng shēngbìng.","He doesn’t eat enough vegetables, that’s why he often gets sick."
医院,yīyuàn,Noun,hospital,医院离我家不近，坐公交车要一小时。,"Yīyuàn lí wǒ jiā bú jìn, zuò gōngjiāochē yào yì xiǎoshí.","The hospital is not close to my house, it takes one hour by bus.",我们这个周末打算去医院看我们的朋友。他因为生病所以住院了。,Wǒmen zhège zhōumò dǎsuàn qù yīyuàn kàn wǒmen de péngyou. Tā yīnwèi shēngbìng suǒyǐ zhùyuàn le.,We plan to visit our friend in the hospital this weekend. He is hospitalized because he is sick.
请假,qǐngjià,Verb Object,to take a leave,我们后天要去旅游，所以我要请假。,"Wǒmen hòutiān yào qù lǚyóu,suǒyǐ wǒ yào qǐngjià.","I'm going to travel for the day after tomorrow, so I need to take the day off.",生病了就请假在家里休息。,Shēngbìng le jiù qǐngjià zài jiālǐ xiūxi.,"If you are sick, rest at home."
一,yī,Noun,"one, single",我有一个弟弟。,Wǒ yǒu yíge dìdì.,I have a younger brother.,今天是星期一。,Jīntiān shì xīngqī  yī.,Today is Monday.
一点儿,yìdiǎnr,Numeral,"a little bit, a bit",今天有一点儿累。,Jīntiān yǒu yìdiǎnr lèi.,Today I'm a little tired,水果有一点儿贵。,Shuǐguǒ yǒu yìdiǎnr guì.,The fruit is a little expensive.
七,qī,Numeral,seven,这有七个人。,Zhè yǒu qī ge rén.,There are seven people.,他七点钟才下班。,Tā qī diǎn zhōng cái xiàbān.,He gets off work at seven o'clock.
三,sān,Numeral,three,我每天喝三杯咖啡。,Wǒ měitiān hē sān bēi kāfēi.,I drink three cups of coffee a day.,那三杯黑咖啡都是我的。,Nà sān bēi hēi kāfēi dōu shì wǒ de.,Those three cup of black coffee are mine.
Chinese,Pinyin,Part of Speech,English,Sentence 1 - Chinese,Sentence 1 - Pinyin,Sentence 1 - English,Sentence 2 - Chinese,Sentence 2 - Pinyin,Sentence 2 - English
上,shàng,Noun/Verb,"on, on top of",桌上有一本书。,Zhuō shàng yǒu yì běn shū.,There is a book on the table.,桌上有二十多本书。,Zhuō shàng yǒu èrshí duō běn shū.,There are more than twenty books on the table.
下,xià,Noun/Verb,"under, off, leave",窗下有一只猫。,Chuāng xià yǒu yì zhī māo.,There is a cat under the window.,我们一起下去搭公交车吧！,Wǒmen yìqǐ xiàqù dā gōngjiāo chē ba!,Let's go down and take a bus!
不,bù,Adv,do not,我不吃牛肉。,Wǒ bù chī niúròu.,I do not eat beef.,弟弟不把衣服挂在衣柜里。,Dìdì bù bǎ yīfu guà zài yīguì lǐ.,My little brother doesn't hang his clothes in the closet.
九,jiǔ,Numeral,nine,我的爸爸有九个姐姐。,Wǒ de bàba yǒu jiǔ ge jiějiě.,My dad has nine sisters.,明天九点从家里出发。,Míngtiān jiǔ diǎn cóng jiā lǐ chūfā.,He departs tomorrow at 9 am from home.
了,le,Adv,past tense,这件衣服太贵了。,Zhè jiàn yīfu tài guìle.,This piece of clothing is too expensive.,我工作一天了，现在我只想睡觉放松。,"Wǒ gōngzuò yìtiān le, xiànzài wǒ zhǐ xiǎng shuìjiào fàngsōng.","I have worked for a whole day long, now I only want to sleep and relax."
二,èr,Numeral,two,昨天星期二。,Zuótiān xīngqī 'èr.,Yesterday was Tuesday.,这是一张二手沙发，但是看起来很新。,"Zhè shì yì zhāng èrshǒu shāfā, dànshì kàn qǐlái hěn xīn.","This is a second hand sofa, but it looks new."
五,wǔ,Numeral,five,我家有五口人。,Wǒjiā yǒu wǔ kǒu rén.,My family has five people.,"这个包是爸爸送给我的，我已经用了五
年了。","Zhège bāo shì bàba sòng gěi wǒ de, wǒ yǐjīng yòng le wǔ nián le.",My father presented this backpack for me. I've already used for five years.
人,rén,Noun,"people, person",你是挪威人吗？,Nǐ shì Nuówēi rén ma?,Are you Norwegian?,这个男人很有魅力，大家都很喜欢他。,"Zhège nánrén hěn yǒu mèilì, dàjiā dōu hěn xǐhuan tā.","This man is very attractive, we all like him."
什么,shénme,Adj/Adv,what,这是什么？,Zhè shì shénme?,What is this?,在你们国家，什么东西代表着幸运？,"Zài nǐmen guójiā, shénme dōngxi dàibiǎo zhe xìngyùn ？","In your country, what object represents good luck?"
会,huì,Verb,"to be able to, can do",我会说一点儿汉语。,Wǒ huì shuō yìdiǎnr hànyǔ.,I can speak a little Chinese.,你几点会做饭？,Nǐ jǐdiǎn huì zuò fàn?,What time will you cook?
儿子,érzi,Noun,son,我的儿子叫王阳。,Wǒ de érzi jiào wáng yáng。,My son is called Wang Yang.,我对儿子的教育十分操心。,Wǒ duì érzǐ de jiàoyù shífēn cāoxīn.,I am very worried about my son's education.
八,bā,Numeral,eight,我有八本中文书。,Wǒ yǒu bā běn zhōngwén shū.,I have eight Chinese books.,我已经说得很明白了，今天八点见，为什么你还是迟到了？,"Wǒ yǐjīng shuō de hěn míngbáile, jīntiān bā diǎn jiàn, wèishénme nǐ háishì chídào le?","I had said so clearly that we'll meet at eight o'clock today, why are you still late?"
六,liù,Numeral,six,中国人喜欢数字六。,Zhōngguó rén xǐhuan shùzì liù.,Chinese people like the number six.,我早上六点起床。,Wǒ zǎoshang liù diǎn qǐchuáng.,I wake up at six in the morning.
写,xiě,Verb,to write,我会写我的中文名字。,Wǒ huì xiě wǒ de zhōngwén míngzì.,I can write my Chinese name.,这个字我写错了。,Zhège zì wǒ xiě cuòle.,I wrote this character incorrectly.
几,jǐ,Adj,a few,你要几个苹果?,Nǐ yào jǐ gè píngguǒ?,How many apples do you want?,这几年世界各地的天气都反常。,Zhè jǐnián shìjiè gèdì de tiānqì dōu fǎncháng.,In recent years the weather around the world has been abnormal.
前面,qiánmiàn,Noun,"front, frontside",我家前面是咖啡店。,Wǒjiā qiánmiàn shì kāfēi diàn.,There's a coffee shop in front of my house.,前面有车祸，快点报警。,"Qián miàn yǒu chē huò, kuài diǎn bàojǐng.","There's a car accident up ahead, quick, call the police!"
十,shí,Numeral,ten,一瓶水十元。,Yì píng shuǐ shí yuán.,A bottle of water is ten yuan.,我今天要跟朋友去演唱会，大概晚上十点回来。,"Wǒ jīntiān yào gēn péngyou qù yǎnchànghuì, dàgài wǎnshàng shí diǎn huílái.","I will go to a concert with a friend today, probably will come back at 10pm."
去,qù,Verb,to go,昨天我没去学校。,Zuótiān wǒ méi qù xuéxiào.,"Yesterday, I didn't go to school.",他为什么这么排斥去海边？,Tā wèishénme zhème páichì qù hǎibiān?,Why does he really don't want to go to the beach?
号,hào,Noun,number,我的鞋是二十四号。,Wǒ de xié shì èrshísì hào.,My shoes are size twenty-four.,我的生日是二月十八号。,Wǒ de shēngrì shì èr yuè shíbā hào.,My birthday is February eighteenth.
后面,hòumiàn,Adj,"behind, backside",学校后面是山。,Xuéxiào hòumiàn shì shān.,There's a mountain behind the school.,在我家后面以及右边都有新的大楼。,Zài wǒjiā hòumiàn yǐjí yòubiān dōuyǒu xīnde dàlóu.,There is a new building on the back of my house and on the right.
吗,ma,Question Particle,Do you?Is that?,你好吗？,Nǐ hǎo ma？,How are you?,你是老师吗？,Nǐ shì lǎoshī ma?,Are you a teacher?
听,tīng,Verb,"to listen, to hear",我喜欢听音乐。,Wǒ xǐhuan tīng yīnyuè.,I like to listen to music.,过马路的时候玩手机、听音乐都很危险。,"Guò mǎlù de shíhou wán shǒujī, tīng yīnyuè dōu hěn wēixiǎn.",Playing mobile phones or listening to music while crossing the road are very dangerous.
呢,ne,Question Particle,,我要喝咖啡，你呢？,"Wǒ yào hē kāfēi, nǐ ne?","I want to drink coffee, how about you?",身体健康比工作重要，你觉得呢？,"Shēntǐ jiànkāng bǐ gōngzuò zhòngyào, nǐ juéde ne?","Health is more important than work, what do you think?"
哪,nǎ,Question pronoun,which,哪杯咖啡？,Nǎ bēi kāfēi?,Which cup of coffee?,,,
哪儿,nǎ'er,Adj/Adv,where,你想把画挂在哪儿？我想把画挂在这儿。,Nǐ xiǎng bǎ huà guà zài nǎr？Wǒ xiǎng bǎ huà guà zài zhèr.,Where do you want to hang the painting? I want to hang the painting here.,我忘了我把刚刚买的衣服放在哪儿了！,Wǒ wàngle wǒ bǎ gānggāng mǎi de yīfu fàng zài nǎr le!,I forget where I put the clothes I just bought.
四,sì,Noun,four,中国人不喜欢数字四。,Zhōngguó rén bù xǐhuān shùzì sì.,Chinese people do not like the number four.,她的体温只有三十四度,Tā de tǐwēn zhǐyǒu sānshísì dù.,Her temperature is only thirty-four degrees Celsius.
回,huí,Verb,"to go back, to return",我晚上九点回家。,Wǒ wǎnshàng jiǔ diǎn huí jiā.,I go home at nine o'clock.,我想要自由地在国外生活一年再回国。,Wǒ xiǎngyào zìyóu de zài guówài shēnghuó yì nián zài huíguó.,I want to live abroad freely for one year and then come back.
在,zài,Adj/Adv,in,我有时候会待在图书馆里看书。,Wǒ yǒu shíhou huì dāi zài túshūguǎn lǐ kànshū.,Sometimes I will stay in the library and read books.,你要待在房间里面多久？,Nǐ yào dāi zài fángjiān lǐmiàn duōjiǔ?,How long are you going to stay in the room?
多少,duōshǎo,Phrase,How many,这个多少钱?,Zhè gè duōshǎo qián?,How much is this?,你的水瓶能装多少水？,Nǐ de shuǐpíng néng zhuāng duōshǎo shuǐ?,How much water can you hold in your water bottle?
太,tài,Adj,too (as in too many),这件衣服太贵了。,Zhè jiàn yīfú tài guìle.,This piece of clothing is too expensive.,这附近交通不太方便，我想换房子。,"Zhè fùjìn jiāotōng bú tài fāngbiàn, wǒ xiǎng huàn fángzi.","The transportation here is not too convenient, I want to move to another place."
她,tā,Pronoun,"she, her",她的手机很好。,Tā de shǒujī hěn hǎo.,Her cell phone is very good.,她唱得不错。,Tā chàng dé búcuò.,She sings well.
字,zì,Noun,"word, character",写汉字不太难。,Xiě hànzì bù tài nán.,It's not too difficult to write Chinese characters.,汉语老师教我们怎么写字。,Hànyǔ lǎoshī jiào wǒmen zěnme xiě zì.,The Chinese teacher teaches us how to write words.
小,xiǎo,Adj,small,我要小杯的绿茶。,Wǒ yào xiǎo bēi de lǜchá.,I want a small cup of green tea.,我家很小，没有厨房。,"Wǒ jiā hěn xiǎo, méiyǒu chúfáng.","My house is small, there is no kitchen."
小姐,xiǎojiě,Noun,"Miss, Ms.",张小姐，您好。,"Zhāng xiǎojiě, nín hǎo.","Hello, Miss Zhang.",工作压力很大的黄小姐，常常在假日去大自然度假，放松自己。,"Gōngzuò yālì hěn dà de huáng xiǎojiě, chángcháng zài jiàrì qù dàzìrán dùjià, fàngsōng zìjǐ","Work pressure is great for Miss Huang, she often uses her holidays to go to natural locations, in order to relax."
工作,gōngzuò,Noun/Verb,"work, to work, job",我的工作是医生。,Wǒ de gōngzuò shì yīshēng.,I work as a doctor.,他根本没有工作经验，我觉得他在骗人。,Tā gēnběn méiyǒu gōngzuò jīngyàn， wǒ juédé tā zài piànrén.,"He did not have any work experience, I think he was lying."
年,nián,Noun,year,今年是羊年。,Jīnnián shì yáng nián.,This is the year of the sheep.,新年快乐，干杯！,"Xīnnián kuàilè, gānbēi!","Happy New Year, cheers!"
很,hěn,Adj,"very, quite",我今天很累。,Wǒ jīntiān hěn lèi.,I'm so tired today.,他有很多法国朋友。,Tā yǒu hěnduō Fǎguó péngyǒu.,He has a lot of French friends.
Chinese,Pinyin,Part of Speech,English,Sentence 1 - Chinese,Sentence 1 - Pinyin,Sentence 1 - English,Sentence 2 - Chinese,Sentence 2 - Pinyin,Sentence 2 - English
怎么样,zěnmeyàng,Phrase,how's this? how is it? how about that?,今天晚餐吃牛肉，怎么样？,"Jīntiān wǎncān chī niúròu, zěnmeyàng?","Let’s have beef for dinner tonight, shall we?",你觉得这座城市的环境怎么样？,Nǐ juéde zhè zuò chéngshì de huánjìng zěnmeyàng?,What do you think of the city's environment?
我们,wǒmen,Pronoun,"we, us",我们是姐妹。,Wǒmen shì jiěmèi.,We are sisters.,"我们有一只狗, 他叫来福。","Wǒmen yǒu yì zhī gǒu, tā jiào lái fú.","We have a dog, it is called Lucky."
时候,shíhòu,Phrase,"when (we were doing sth...), at the time",七月的时候，我去新加坡。,"Qī yuè de shíhòu, wǒ qù xīnjiāpō.","In July, I'll go to Singapore.",你什么时候去看电影?,Nǐ shénme shíhou qù kàn diànyǐng?,When are you going to watch movie?
有,yǒu,Verb,"to have, to own",他有很多法国朋友。,Tā yǒu hěnduō Fǎguó péngyǒu.,He has a lot of French friends.,我今天晚上没有空。,Wǒ jīntiān wǎnshàng méiyǒu kòng.,I'm not free tonight.
本,běn,Measure word,measure word for books,这是一本旅游杂志。,Zhè shì yī běn lǚyóu zázhì.,This is a travel magazine.,我忘记带写字的本子了。,Wǒ wàngjì dài xiězì de běnzile.,I forgot to bring my writing notebook.
没有,méiyǒu,Verb,"to not have, don't have",我没有妹妹。,Wǒ méiyǒu mèimei.,I don't have a younger sister.,我没有时间做晚饭。,Wǒ méiyǒu shíjiān zuò wǎnfàn.,I don’t have time for making dinner.
点,diǎn,Noun,"point, o'clock",现在是五点十分。,Xiànzài shì wǔ diǎn shí fēn.,It's five o'clock now.,你中午几点休息?,Nǐ zhōngwǔ jǐdiǎn xiūxi?,What time do you rest at noon?
电视,diànshì,Noun,"television, TV",我家没电视。,Wǒjiā méi diànshì.,My house doesn't have a TV.,有时候爸爸会打开电视看篮球比赛。,Yǒu shíhou bàba huì dǎkāi diànshì kàn lánqiú bǐsài.,Sometimes father will turn on the TV and watch a basketball game.
的,de,Adj/Adv,"of, possessive, belonging to",她的名字是玛丽。,Tā de míngzi shì Mǎlì.,Her name is Mary.,我的老师不是中国人。,Wǒ de lǎoshī bú shì Zhōngguó rén.,My teacher is not a Chinese.
米饭,mǐfàn,Noun,rice,我喜欢吃米饭。,Wǒ xǐhuān chī mǐfàn.,I like to eat rice.,,,
苹果,píngguǒ,Noun,apple,我喜欢苹果口味的甜食。,Wǒ xǐhuan píngguǒ kǒuwèi de tiánshí.,I like apple flavor sweets.,这颗苹果的表面很漂亮。,Zhèkē píngguǒ de biǎomiàn hěn piàoliang.,This apple looks beautiful.
读,dú,Verb,to read,读中文书不太难。,Dú zhōngwén shū bù tài nán.,It's not too hard to read Chinese books.,熬夜读书对身体不好。,Áoyè dúshū duì shēntǐ bù hǎo.,It’s not healthy to stay up that late reading.
这,zhè,Adj,this,这是我妈妈。,Zhè shì wǒ māmā.,This is my mother.,这本杂志卖得很好。,Zhè běn zázhì mài de hěn hǎo.,This magazine sells well.
都,dōu,Adj/Adv,"all, every",他们都是我的朋友。,Tāmen dōu shì wǒ de péngyǒu.,They are all my friends.,她笑起来很漂亮，大家都很喜欢她。,"Tā xiào qǐlái hěn piàoliang, dàjiā dōu hěn xǐhuan tā.","Her smiles beautifully, everyone really likes her."
里,lǐ,Adj,"in, inside",我的包里有一瓶水。,Wǒ de bāo li yǒuyī píng shuǐ.,There's a bottle of water in my bag.,谁扔了冰箱里的鸡蛋？,Shéi rēng le bīngxiāng lǐ de jīdàn?,Who threw away the eggs in the fridge?
饭店,fàndiàn,Noun,restaurant,这是一间新开的饭店。,Zhè shì yī jiàn xīn kāi de fàndiàn.,This is a newly opened hotel.,"这家饭店的菜是具有代表性和地方特色
的菜。",Zhè jiā fàndiàn de cài shì jùyǒu dàibiǎoxìng hé dìfāng tèsè de cài.,The food in this restaurant is the typical dish with local features.
