Chinese,Pinyin,Part,Definition,Sentence 1 - Chinese,Sentence 1 - Pinyin,Sentence 1 - English,Sentence 2 - Chinese,Sentence 2 - Pinyin,Sentence 2 - English
衣柜,yīguì,Noun,wardrobe,我的衣柜太旧了，我想买一个新的。,"Wǒ de yīguì tài jiù le, wǒ xiǎng mǎi yīgè xīn de.","My wardrobe is too old, I want to buy a new one.",我帮我的邻居搬衣柜。,Wǒ bāng wǒ de línjū bān yīguì.,I helped my neighbor carry his wardrobe.
家具店,jiājù diàn,Noun,furniture store,"我听说在地铁站附近有一家不错的家
具店。",Wǒ tīngshuō zài dìtiězhàn fùjìn yǒu yì jiā búcuò de jiājù diàn.,I heard that there is a nice furniture store near subway station.,"我最喜欢这家家具店，他们的家具质量
都很好。","Wǒ zuì xǐhuan zhè jiā jiājù diàn, tāmen de jiājù zhìliàng dōu hěn hǎo.","I like this furniture store, the furniture here have a good quality ."
床,chuáng,Noun,bed,听说这家家具店卖的床不贵。,Tīngshuō zhè jiā jiājù diàn mài de chuáng bú guì.,I heard that the bed in this furniture store is not expensive.,这张床睡起来很舒服。,Zhè zhāng chuáng shuì qǐlái hěn shūfu.,This bed is comfortable for sleep.
重,zhòng,Adj,heavy,"我的衣柜太重了，得请人来帮我搬上
去。","Wǒ de yīguì tài zhòng le, děi qǐng rén lái bāng wǒ bān shàngqù.","My wardrobe is too heavy, so I have to ask someone for help.",这张床太重了，我一个人搬不上去。,"Zhè zhāng chuáng tài zhòng le, wǒ yīgè rén bān bú shàngqù.","This bed is too heavy, I can’t move it up by my own."
需要,xūyào,Noun/Verb,"to need,to demand, to require, requirement","如果你需要我帮忙，什么时候都可以打
电话给我。","Rúguǒ nǐ xūyào wǒ bāngmáng, shénme shíhou dōu kěyǐ dǎdiànhuà gěi wǒ.",You can call me when you need my help.,我需要一个新的衣柜，这个太小了,"Wǒ xūyào yīgè xīn de yīguì, zhège tài xiǎo le.","I need a new wardrobe, this one is too small."
发,fā,Verb,"to text, to send",我妈妈昨天发了一封短信给我。,Wǒ māma zuótiān fā le yīfēng duǎnxìn gěi wǒ.,My mother sent me a text message yesterday.,我很久没给家人发短信了。,Wǒ hěnjiǔ méi gěi jiārén fā duǎnxìn le.,I did not send text messages to my family for a long time.
短信,duǎnxìn,Noun,text message,我最近不方便接电话，你给我发短信吧！,"Wǒ zuìjìn bù fāngbiàn jiē diànhuà,nǐ gěi wǒ fā duǎn xìn ba!","I can’t answer the phone recently, so you can send text messages.",我明天下午要开会，要是你有事，就给我发短信。,"Wǒ míngtiān xiàwǔ yào kāihuì, yàoshi nǐ yǒu shì, jiù gěi wǒ fā duǎnxìn.","I have a meeting tomorrow afternoon. If you need me, send me text messages."
质量,zhìliàng,Noun,quality,这个包包的质量不错。,Zhègè bāobāo de zhìliàng búcuò.,The quality of this bag is not bad.,质量不错的东西会比较贵。,Zhìliàng búcuò de dōngxi huì bǐjiào guì.,High quality things are more expensive.
记,jì,Verb,"to record, to note, to memorize",上课的东西，我都会记在本子上。,"Shàngkè de dōngxi, wǒ dōu huì jì zài běnzi shàng.","What we learn in class, I take a notes on in my notebook.",我把重要的事情记在本子上。,Wǒ bǎ zhòngyào de shìqíng jì zài běnzi shàng.,I take note of important matters in my notebook.
笔记本,bǐjìběn,Noun,notebook,这是我新买的笔记本。,Zhè shì wǒ xīn mǎi de bǐjìběn.,This is a brand new notebook.,这本笔记本质量不错，我也想买。,"Zhè běn bǐjìběn zhìliàng búcuò, wǒ yě xiǎng mǎi.","The quality of this notebook is not bad, I also want to buy one."
记得,jìde,Verb,to remember,你记得今天是什么日子吗？,Nǐ jìde jīntiān shì shénme rìzi ma?,Do you remember what date is today?,我不记得我什么时候开始学开车的。,Wǒ bú jìde wǒ shénme shíhou kāishǐ xué kāichē de.,I don’t remember when I began to learn driving.
如果,rúguǒ,Conj,"if, in case",如果这个周末你有空，我们就一起出去走走吧！,"Rúguǒ zhège zhōumò nǐ yǒu kòng, women jiù yìqǐ chūqù zǒu zǒu ba!","If you have free time this weekend, let’s go out together.",如果你明天去家具店，就给我发短信吧。我也想买床。,"Rúguǒ nǐ míngtiān qù jiājù diàn, jiù gěi wǒ fā duǎnxìn ba. Wǒ yě xiǎng mǎi chuáng.","If you will go to furniture store tomorrow, text me. I also want to buy a bed."
建议,jiànyì,Noun/Verb,"to propose, to suggest, suggestion, recommendation",如果你去北京玩， 我建议你去万里长城看看。,"Rúguǒ nǐ qù Běijīng wán, wǒ jiànyì nǐ qù wànlǐ chángchéng kàn kàn.","If you travel to Beijing, I recommend that you go the Great Wall.",如果你想买质量好的床，我建议你可以多去看看。,"Rúguǒ nǐ xiǎng mǎi zhìliàng hǎo de chuáng, wǒ jiànyì nǐ kěyǐ duō qù kàn kàn.","If you want to buy a good quality bed, I suggest you should do more research."
黑板,hēibǎn,Noun,blackboard,老师写在黑板上的东西你都记在笔记本上了吗？,Lǎoshī xiě zài hēibǎn shàng de dōngxi nǐ dōu jì zài bǐjìběn shàng le ma?,Did you take a note what teacher wrote on the blackboard?,我看不到黑板上写的汉字。,Wǒ kànbúdào hēibǎn shàng xiě de hànzì.,I can’t see the Chinese character written on the blackboard.
方法,fāngfǎ,Noun,"method, way","要是你常忘了事情，你会用什么方法试
着记得？","Yàoshi nǐ cháng wàng le shìqíng, nǐ huì yòng shénme fāngfǎ shìzhe jìde?","If you forget things often, what kind of method would you use to remember?",你学习汉语的方法是什么？,Nǐ xuéxí hànyǔ de fāngfǎ shì shénme?,What ways do you use to learning Chinese?
挂,guà,Verb,to hang or suspend (from a hook etc),你知道那里挂着什么吗?,Nǐ zhīdào nàlǐ guàzhe shénme ma?,Do you know what is hanging there?,你想把画挂在哪里？,Nǐ xiǎng bǎ huà guà zài nǎlǐ?,Where do you want to hang the painting?
画,huà,Noun/Verb,"to draw, painting",你想把画挂在哪儿？我想把画挂在这儿。,Nǐ xiǎng bǎ huà guà zài nǎr? Wǒ xiǎng bǎ huà guà zài zhèr.,Where do you want to hang the painting? I want to hang the painting here.,这幅画很漂亮，你喜欢吗？,"Zhè fú huà hěn piàoliang, nǐ xǐhuān ma?","This painting is very beautiful, do you like it?"
客厅,kètīng,Noun,living room,她家的客厅很漂亮。,Tā  jiā de kètīng hěn piàoliang.,Her living room is very beautiful.,他拿着水，走到客厅了。,"Tā názhe shuǐ ,  zǒu dào kètīng le.",He took the water and went to the living room.
窗户,chuānghù,Noun,window,我把画挂在窗户旁边。,Wǒ bǎ huà guà zài chuānghù pángbiān.,I put the painting next to the window.,把沙发搬到窗户边!,Bǎ shāfā bāndào chuānghù biān.,Move the sofa next to the window.
沙发,shāfā,Noun,sofa,可以帮我搬沙发吗？,Kěyǐ bāng wǒ bān shāfā ma?,Can you help me move the sofa?,这张沙发是你买的吗？,Zhè zhāng shāfā shì nǐ mǎi de ma?,Is that you bought this sofa?
整齐,zhěngqí,Adj,"orderly, neat, even, tidy",这样看起来整齐多了。,Zhèyàng kàn qǐlái  zhěngqí duō le.,This looks much more neat.,请把杯子放整齐。,Qǐng bǎ  bēizi  fàng zhěngqí.,Please put her cup tidily.
灯,dēng,Noun,"lamp, light, lantern",把画挂在灯下面。,Bǎ huà guàzài dēng xiàmiàn.,Put the painting under the light.,这个灯坏了，怎么办？,"Zhège dēng huài le, zěnmebàn?","The lamp is broken, what could we do?"
椅子,yǐzi,Noun,chair,帮我搬张椅子吧 ! 我拿太多东西了。,Bāng wǒ bān zhāng yǐzi ba! Wǒ ná tàiduō dōngxi le.,Help me move a chair! I took too many things.,这张椅子坏了，把它搬出去。,"Zhè zhāng yǐzi huài le, bǎ tā bān chūqù.","The chair is broken, take it out."
放,fàng,Verb,"to put, to place",我忘了我把刚刚买的衣服放在哪儿了！,Wǒ wàngle wǒ bǎ gānggāng mǎi de yīfu fàng zài nǎr le!,I forget where I put the clothes I just bought.,我放了一个蛋糕在厨房的桌子上。要是你饿了，可以拿去吃。,"Wǒ fàng le yígè dàngāo zài chúfáng de zhuōzi shàng. Yàoshi nǐ è le, kěyǐ ná qù chī.","I put a cake on the table in the kitchen. If you are hungry, you can have it."
鱼,yú,Noun,fish,冰箱里的鱼是什么时候买的？,Bīngxiāng lǐ de yú shì shénme shíhou mǎi de?,When did you buy the fish in the fridge?,他拿了几条鱼给他的猫吃。,Tā nále jǐ tiáo yú gěi tā de māo chī.,He takes some fish to feed his cat.
虾,xiā,Noun,"shrimp, prawn",这些虾好大一只，一定不便宜！,"Zhèxiē xiā hǎo dà yìzhǐ, yídìng bù piányi!","These shrimps are so big, they must be expensive!",请你把这些虾放进锅子里。,Qǐng nǐ bǎ zhèxiē xiā fàng jìn guōzi lǐ.,Please put these shrimps into the pot.
煮,zhǔ,Verb,"to cook, to boil",这道菜真好吃！请问是怎么煮的？,Zhè dào cài zhēn hǎo chī! Qǐngwèn shì zěnme zhǔ de?,This dish tastes so good! May I ask how to cook it?,"因为妈妈生病了，所以今天晚上我煮晚
餐。","Yīnwèi māma shēngbìng le, suǒyǐ jīntiān wǎnshàng wǒ zhǔ wǎncān.","My mother is sick, so I will cook dinner tonight."
牛肉,niúròu,Noun,beef,"听说这家饭馆的牛肉煮得很好吃,所以很多人排队！","Tīngshuō zhè jiā fànguǎn de niúròu zhǔ de hěn hǎo chī, suǒyǐ hěn duō rén páiduì!","People say that the beef in this restaurant tastes great, that's why so many people are lining up!",今天晚餐吃牛肉，怎么样？,"Jīntiān wǎncān chī niúròu, zěnmeyàng?","Let’s have beef for dinner tonight, shall we?"
羊肉,yángròu,Noun,"mutton, lamb meat","你运动完后，可以帮我去超市买羊肉
吗？","Nǐ yùndòng wán hòu, kěyǐ bāng wǒ qù chāoshì mǎi yángròu ma?",Can you help me buy lamb at the supermarket after you're done exercising?,今天好冷，晚上我们来吃羊肉火锅吧！,"Jīntiān hǎo lěng, wǎnshàng wǒmen lái chī yángròu huǒguō ba!","Today is so cold, let’s have lamb hot pot tonight!"
做法,zuòfǎ,Noun,"way of handling something, method for making, work method, recipe,",这苹果派的做法不难，你可以上网找找。,"Zhè píngguǒ pài de zuòfǎ bù nán, nǐ kěyǐ shàngwǎng zhǎo zhǎo.","The way of making this apple pie is not difficult, you can find it on the Internet.",你记得这道菜的做法是什么吗？,Nǐ jìde zhè dào cài de zuòfǎ shì shénme ma?,Do you remember the recipe for this dish?
桌,zhuō,Measure word,measure word for tables of guests at a banquet etc,去年新年我们家煮了一桌好吃的菜！,Qùnián xīnnián wǒmen jiā zhǔ le yì zhuō hǎochī de cài!,Last new year we cooked a whole table of good dishes!,"你们昨天晚上做了什么？怎么有一桌
的垃圾？",Nǐmen zuótiān wǎnshàng zuò le shénme? Zěnme yǒu yìzhuō de lājī?,What did you do last night? Why is there a table full of trash?
原因,yuányīn,Noun,reason,明天他就要回国了，原因是他妈妈生病了。,"Míngtiān tā jiù yào huíguó le, yuányīn shì tā māma shēngbìng le.","He is going back to his country tomorrow, the reason is that his mother is sick.",我这次迟到是有特别的原因。,Wǒ zhè cì chídào shì yǒu tèbié de yuányīn.,I have a special reason for being late this time.
夹,jiá,Verb,to pick up food with chopsticks,中国人和日本人都习惯用筷子夹菜吃。,Zhōngguó rén hé Rìběn rén dōu xíguàn yòng kuàizi jiá cài chī.,Chinese and Japanese are used to use chopsticks to pick up food and eat.,可以帮我夹一些菜吗？,Kěyǐ bāng wǒ jiá yīxiē cài ma?,Can you pick up some food with chopsticks for me?
装,zhuāng,Verb,"to wrap (something in a bag), to load, to pack",我装了一些牛奶在杯子里。,Wǒ zhuāng le yìxiē niúnǎi zài bēizi lǐ.,I put some milk in the glass.,你装了什么在锅子里？,Nǐ zhuāng le shénme zài guōzi lǐ?,What do you load into the pot?
打开,dǎkāi,Verb,"to open, to turn on, to switch on","今天天气真好，我们把窗户打开，晒晒
太阳吧！","Jīntiān tiānqì zhēn hǎo, wǒmen bǎ chuānghù dǎkāi, shài shài tàiyáng ba!","Today’s weather is so nice, let’s open the window and enjoy the sunshine!",有时候爸爸会打开电视看篮球比赛。,Yǒu shíhou bàba huì dǎkāi diànshì kàn lánqiú bǐsài.,Sometimes father will turn on the TV and watch a basketball game.
拿,ná,Verb,"to hold, to seize, to catch, to take",请把我的水瓶拿给我，谢谢。,"Qǐng bǎ wǒde shuǐpíng ná gěi wǒ, xièxie.","Please give me my water bottle, thank you.",你手上拿的东西是什么？,Nǐ shǒu shàng ná de dōngxi shì shénme?,What is the thing in your hand?
行李,xínglǐ,Noun,luggage,请问我可以带多重的行李？,Qǐngwèn wǒ kěyǐ dài duō zhòng de xínglǐ?,What is the maximum weight I can bring in my luggage?,请问你的行李几公斤？,Qǐngwèn nǐ de xínglǐ jǐ gōngjīn?,How many kilograms is your luggage?
口袋,kǒudài,Noun,pocket,安全检查的时候，请把口袋里的东西拿出来。,"Ānquán jiǎnchá de shíhou, qǐng bǎ kǒudài lǐ de dōngxi ná chūlái.","When you check through security, please take out the things in your pocket.",我常把重要的东西放在口袋里。,Wǒ cháng bǎ zhòngyào de dōngxi fàng zài kǒudài lǐ.,I often put important things in my pocket.
水瓶,shuǐpíng,Noun,water bottle,安全检查的时候，不能把水瓶带进去。,"Ānquán jiǎnchá de shíhou, bùnéng bǎ shuǐpíng dài jìnqù.","When going through security check, we can not bring water bottles.",你的水瓶能装多少水？,Nǐ de shuǐpíng néng zhuāng duōshǎo shuǐ?,How much water can you hold in your water bottle?
钱币,qiánbì,Noun,coins,你喜欢搜集你去过的国家的钱币吗？,Nǐ xǐhuan sōují nǐ qùguò de guójiā de qiánbì ma?,Do you like to collect the coins of the countries you've been to?,"我昨天买东西的时候，店员给我很多钱
币。","Wǒ zuótiān mǎi dōngxī de shíhou, diànyuán gěi wǒ hěn duō qiánbì.","After I bought things yesterday, the clerk gave me a lot of coins."
护照,hùzhào,Noun,passport,出国前，不要忘了带护照。,"Chūguó qián, búyào wàng le dài hùzhào.","Before going abroad, do not forget to take your passport.","我忘了我的护照放在哪里，请帮我找一
找。","Wǒ wàng le wǒ de hùzhào fàng zài nǎlǐ, qǐng bāng wǒ zhǎo yì zhǎo.","I forgot where my passport was, please help me find it."
钥匙,yàoshi,Noun,key,出门以前记得要带钥匙。,Chūmén yǐqián jìde yào dài yàoshi.,Remember to bring your keys before going out.,我忘了我把钥匙放在哪里。,Wǒ wàng le wǒ bǎ yàoshi fàng zài nǎlǐ.,I forgot where I put the key.
签证,qiānzhèng,Noun,visa,我的护照跟签证都在口袋里。,Wǒde hùzhào gēn qiānzhèng dōu zài kǒudài lǐ.,My passport and visa are in my pocket.,出国以前要检查你的护照和签证有没有问题。,Chūguó yǐqián yào jiǎnchá nǐ de hùzhào hé qiānzhèng yǒu méiyǒu wèntí.,"Before going abroad, you have to check your passport and visa are without any problems."
机场,jīchǎng,Noun,airport,出国前要早两到三个小时到机场。,Chūguó qián yào zǎo liǎng dào sānge xiǎoshí dào jīchǎng.,Go to the airport two to three hours before going abroad,从你家到机场远不远？,Cóng nǐ jiā dào jīchǎng yuǎn bùyuǎn?,Is your home far from the airport?
看到,kàndào,Verb,"to see, to catch sight of",昨天我在公园里看到他在打球。,Zuótiān wǒ zài gōngyuán lǐ kàndào tā zài dǎqiú.,I saw him playing ball in the park yesterday.,你多久没看到他了？,Nǐ duōjiǔ méi kàndào tā le?,How long haven’t you seen him?
久,jiǔ,Adj,"(long) time, (long) duration of time",他什么时候回来？他出去很久了。,Tā shénme shíhou huílái? Tā chūqù hěn jiǔ le.,When will he come back? He went out for a long time.,很久以前我去过日本旅游。,Hěn jiǔ yǐqián wǒ qù guò Rìběn lǚyóu.,I have been to Japan a long time ago.
大概,dàgài,Adv,"probably, roughly, approximately, about,",他好像很不舒服，大概是生病了。,"Tā hǎoxiàng hěn bù shūfu, dàgài shì shēngbìng le.","He seems not so comfortable, probably he is sick.",我今天要跟朋友去演唱会，大概晚上十点回来。,"Wǒ jīntiān yào gēn péngyou qù yǎnchànghuì, dàgài wǎnshàng shí diǎn huílái.","I will go to a concert with a friend today, probably will come back at 10pm."
这么,zhème,Adv,"so much, this much",虽然他住在北京这么久了，但是还是会迷路。,"Suīrán tā zhù zài Běijīng zhème jiǔ le, dànshì háishì huì mílù.","Although he lives in Beijing for a long time, but he still gets lost .",你不是要去朋友家吃火锅？怎么这么快就回来了？,Nǐ búshì yào qù péngyou jiā chī huǒguō? Zěnme zhème kuài jiù huílái le?,Weren’t you going to your friend’s for hot pot? Why did you come back so early?
一定,yídìng,Adv,"surely, certainly",要是你每天练习汉语，不久以后一定可以说得很好的！,"Yàoshi nǐ měitiān liànxí hànyǔ, bùjiǔ yǐhòu yídìng kěyǐ shuō de hěn hǎo de!","If you practice Mandarin  every day, you definitely can speak Mandarin fluently in a short time.",要是你不早点睡，明天一定会迟到。,"Yàoshi nǐ bù zǎodiǎn shuì, míngtiān yídìng huì chídào.","If you don’t go sleep early, you will definitely be late tomorrow."
接,jiē,Verb,"to pick up (the phone), to answer (the phone)",我刚刚没接到他的电话。,Wǒ gānggāng méi jiē dào tā de diànhuà.,I just missed his phone call.,我在做饭，你可以帮忙接电话吗？,"Wǒ zài zuò fàn, nǐ kěyǐ bāngmáng jiē diànhuà ma?","I am cooking, can you pick up the phone?"
空,kōng,Adj,empty,你家还有没有空的房间？,Nǐ jiā hái yǒu méiyǒu kōng de fángjiān?,Is there any empty room in your home?,我家已经没有空房间了。,Wǒ jiā yǐjīng méiyǒu kōng fángjiān le.,My home has no empty room.
房东,fángdōng,Noun,landlord,我不喜欢我的房东，因为我有问题的时候他都不帮我。,"Wǒ bù xǐhuān wǒ de fángdōng,  yīnwèi wǒ yǒu wèntí de shíhou tā dōu bù bāng wǒ.","I do not like my landlord, because he did not help me when there was a problem.","我的房东常常自己开门进来，我该怎么
办？","Wǒ de fángdōng chángcháng zìjǐ kāimén jìnlái, wǒ gāi zěnmebàn?","My landlord often opens my door and gets in my room, how can I do?"
房客,fángkè,Noun,tenant,我房间旁边的房客是大学生。,Wǒ fángjiān pángbiān de fángkè shì dàxuéshēng .,"My room is next to the tenant, who is college students.",我楼上的房客晚上常常唱歌，我都不能睡觉。,"Wǒ lóushàng de fángkè wǎnshàng chángcháng chànggē, wǒ dōu bùnéng shuìjiào.","My upstairs tenants often sing at night, I can not sleep."
交通,jiāotōng,Noun,transportation/traffic,这附近的交通方便吗？,Zhè fùjìn de jiāotōng fāngbiàn ma?,Is the nearby transportation convenient?,这附近交通不太方便，我想换房子。,"Zhè fùjìn jiāotōng bú tài fāngbiàn, wǒ xiǎng huàn fángzi.","The transportation here is not convenient, I want to move to another place."
帮助,bāngzhù,Noun/Verb,"assistance, aid, to help, to assist",你有什么问题我都可以帮助你。,Nǐ yǒu shénme wèntí wǒ dōu kěyǐ bāngzhù nǐ.,I can help if you have any questions.,昨天我的房东帮助我把床搬上去。,Zuótiān wǒ de fángdōng bāngzhù wǒ bǎ chuáng bān shàngqù.,Yesterday my landlord helped me to move the bed up.
合适,héshì,Adj,"suitable, fitting",我最近想换房子，你家附近有没有合适的空房子？,"Wǒ zuìjìn xiǎng huàn fángzi, nǐjiā fùjìn yǒu méiyǒu héshì de kōng fángzi?","Recently I have wanted to move to a new house, is there any suitable and empty houses near your home?",我帮你问问我朋友这附近有没有合适的空房子。,Wǒ bāng nǐ wènwèn wǒ péngyǒu zhè fùjìn yǒu méiyǒu héshì de kōng fángzi.,I will ask my friend is there any suitable and empty houses nearby.
换,huàn,Verb,"to change, to switch",我想换一间交通比较方便的房子。,Wǒ xiǎng huàn yìjiàn jiāotōng bǐjiào fāngbiàn de fángzi.,I want to move to a house which has a more convenient transportation conditions.,我没有硬币了，可以去银行换钱吗？,"Wǒ méiyǒu yìngbì le, kěyǐ qù yínháng huànqián ma?","I do not have coins, can I go to the bank to exchange money?"
间,jiān,Measure word,"section of a room or lateral space between two pairs of pillars, Measure word for rooms",听说那间房子交通很方便也很便宜。,Tīngshuō nàjiān fángzi jiāotōng hěn fāngbiàn yě hěn piányi.,I heard that the house is very convenient and very cheap.,这间房间很大也很安静。,Zhèjiān fángjiān hěn dà yě hěn ānjìng.,This room is very large and very quiet.
吵,chǎo,Verb,"to make a noise, noisy",这间房子在火车站附近，所以很吵。,"Zhèjiān fángzi zài huǒchēzhàn fùjìn, suǒyǐ hěnchǎo.","The house is near the train station, so it is noisy.",大家都不喜欢住在很吵的地方。,Dàjiā dōu bù xǐhuan zhù zài hěnchǎo de dìfāng.,We do not like to live in a very noisy place.
其他,qítā,Pronoun,"other, (something or somebody) else, the rest","我觉得这间房子不够大，我想看其他
间。","Wǒ juéde zhèjiān fángzi búgòu dà, wǒ xiǎng kàn qítā jiān.","This house is not big enough, I want to see another one.",他没有其他朋友。,Tā méiyǒu qítā péngyǒu.,He has no other friends.
平常,píngcháng,Adv,usually,他平常都自己做饭。,Tā píngcháng dōu zìjǐ zuòfàn.,He usually cooks for himself.,我平常不去很贵的餐厅。,Wǒ píngcháng búqù hěnguì de cāntīng.,I usually do not go to the very expensive restaurant.
洗手间,xǐshǒujiān,Noun,bathroom,这间房子的洗手间很大。,Zhèjiān fángzi de xǐshǒujiān hěndà.,The house has a large bathroom.,这间学校没有很多洗手间。,Zhèjiān xuéxiào méiyǒu hěnduō xǐshǒujiān.,This school does not have a lot of toilets.
文化,wénhuà,Noun,culture,用筷子吃饭是中国的文化。,Yòng kuàizi chīfàn shì Zhōngguó de wénhuà.,Eating with chopsticks is part of Chinese culture.,每个国家的文化都有不一样的特色。,Měi gè guójiā de wénhuà dōu yǒu bù yīyàng de tèsè.,Every country's culture has different characteristics.
相信,xiāngxìn,Verb,"to be convinced (that something is true), to believe,","你不应该相信他，他说的话都不是真
的。","Nǐ bù yīnggāi xiāngxìn tā, tā shuō de huà dōu búshì zhēnde.","You should not believe him, what he said are all not true.",我相信我会把汉语学好。,Wǒ xiāngxìn wǒ huì bǎ hànyǔ xuéhǎo.,I believe I will improve my Chinese.
机会,jīhuì,Noun,"opportunity, chance,",看中国电影是学习汉语的好机会。,Kàn Zhōngguó diànyǐng shì xuéxí hànyǔ de hǎo jīhuì.,Watching Chinese movies is a good way to learn Chinese.,我很开心有机会到中国去工作。,Wǒ hěn kāixīn yǒu jīhuì dào Zhōngguó qù gōngzuò.,I am happy that I have a chance to work in China.
复习,fùxí,Verb,to review,你每天复习汉语吗？,Nǐ měitiān fùxí hànyǔ ma?,Do you review Chinese every day?,老师说我们应该要每天复习汉语。,Lǎoshī shuō wǒmen yīnggāi yào měitiān fùxí hànyǔ.,Teacher said we should review Chinese every day.
下次,xiàcì,Noun,next time,我们下次一起去看京剧吧！,Wǒmen xiàcì yìqǐ qù kàn jīngjù ba!,Let’s go to see Peking Opera next time!,下次我想去北京旅游。,Xiàcì wǒ xiǎng qù Běijīng lǚyóu.,I want to go travel in Beijing next time.
懂,dǒng,Verb,"to understand, to comprehend",老师说的话，你都懂吗？,"Lǎoshī shuō de huà, nǐ dōu dǒng
ma？",Do you understand what did teacher say?,我看不懂这部电影的意思。,Wǒ kàn bù dǒng zhè bù diànyǐng de yìsi.,I don’t understand the meaning of this movie.
自己,zìjǐ,Pronoun,oneself/myself/ownself,我常自己一个人去旅游。,Wǒ cháng zìjǐ yígèrén qù lǚyóu.,I go travel by myself often.,放假的时候，我喜欢自己在家看书。,"Fàngjià de shíhou, wǒ xǐhuan zìjǐ zàijiā kànshū.",I like to read at home by myself in my day off.
京剧,jīngjù,Noun,"Beijing Opera, Peking Opera",我的房东觉得京剧很有意思。,Wǒ de fángdōng juéde jīngjù hěn yǒuyìsi.,My landlord thinks Peking Opera is interesting.,京剧是中国很重要的文化。,Jīngjù shì Zhōngguó hěn zhòngyào de wénhuà.,Peking Opera is an important part of Chinese culture.
表演,biǎoyǎn,Noun/Verb,"performance,perform",你看楼下有一个表演，看起来很热闹。,"Nǐ kàn lóuxià yǒu yígè biǎoyǎn, kàn qǐlái hěn rènào.","Look! There is a show downstairs, it looks exciting.",她表演得很好。,Tā biǎoyǎn de hěn hǎo.,She performs well.
精彩,jīngcǎi,Adj,"brilliant, marverlous",这个演唱会非常精彩。,Zhège yǎnchànghuì fēicháng jīngcǎi.,This concert is amazing.,这么精彩的表演，下次我还要来看。,"Zhème jīngcǎi de biǎoyǎn, xiàcì wǒ hái yào lái kàn.",What a brilliant show! I will come to see this show again.
